rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,LLY,77.58395049459338,89.61785526804513,30.350763925884188,78.3488287892551,Healthcare,0.506,27.3,60.4,1.14,+14.1% 1mo; +0.5% analyst upside; EPS +170%; Rev +56%
2,NVDA,76.9273586181098,46.187651895377,84.71641259705544,100.0,Technology,2.211,15.3,40.4,1.0,-12.5% 1mo; +54.8% analyst upside; EPS +214%; Rev +85%
3,NEE,58.01425547743905,70.7653078064577,32.86054217497,63.02070093233472,Utilities,0.667,20.1,66.8,1.22,+3.9% 1mo; +12.3% analyst upside; EPS +160%; Rev +7%
4,BRK-B,57.994941563940166,78.17914285184881,17.412130690895168,50.0383230103531,Financial Services,0.607,23.6,69.5,1.11,+7.7% 1mo; +2.5% analyst upside; EPS +120%; Rev +4%
5,NFLX,52.66891212928514,64.8571304031183,66.63964818286303,43.33192599599718,Communication Services,1.517,20.2,42.9,1.39,-6.8% 1mo; +46.7% analyst upside; EPS +86%; Rev +16%
6,SPGI,52.53193642283301,96.23055347763638,44.582323085071714,25.63591574682273,Financial Services,1.079,21.5,69.1,1.48,+11.4% 1mo; +5.2% analyst upside; EPS +32%; Rev +10%
7,V,52.417271258246544,91.89405189697388,46.78657639179425,28.186253883381916,Financial Services,0.754,24.4,86.2,1.42,+14.1% 1mo; +10.1% analyst upside; EPS +36%; Rev +17%
8,META,52.06731491777859,63.96719727652188,71.80569412665439,40.832119325747826,Communication Services,1.246,15.8,53.5,1.19,-2.4% 1mo; +42.1% analyst upside; EPS +62%; Rev +33%
9,GOOGL,51.606037650822074,66.77734978745279,53.09167528623744,43.31201127606559,Communication Services,1.247,24.7,51.3,1.44,-0.5% 1mo; +20.1% analyst upside; EPS +82%; Rev +22%
10,MA,50.858540842063405,90.95307817601827,55.67901986000548,23.59139751131456,Financial Services,0.729,23.7,76.9,1.27,+12.9% 1mo; +19.3% analyst upside; EPS +21%; Rev +16%
11,AMZN,50.32549485725247,62.38533531845859,62.9629571561548,39.80452783321608,Consumer Cyclical,1.461,24.5,50.9,1.64,-5.4% 1mo; +28.9% analyst upside; EPS +75%; Rev +17%
12,RTX,49.85049808060752,90.36808230103694,30.415692062247572,25.034389065244095,Industrials,0.298,26.3,68.0,0.94,+14.3% 1mo; +8.2% analyst upside; EPS +32%; Rev +9%
13,ISRG,47.277219215393366,80.04062374358023,51.13453239640554,24.485299183877743,Healthcare,1.46,36.1,58.4,1.17,+5.9% 1mo; +32.6% analyst upside; EPS +19%; Rev +23%
14,BLK,47.19458286247008,64.33328061031942,54.00869502191304,34.26474769218825,Financial Services,1.443,16.3,44.7,1.46,-1.7% 1mo; +25.7% analyst upside; EPS +46%; Rev +27%
15,BAC,46.60422725311187,81.51145130772986,43.30943140090499,23.363813419905796,Financial Services,1.175,11.5,72.5,1.07,+12.5% 1mo; +9.2% analyst upside; EPS +24%; Rev +8%
16,DHR,46.24352870419795,83.88159776541802,52.57426947253231,17.095444390949964,Healthcare,0.823,21.5,72.7,1.04,+12.6% 1mo; +22.4% analyst upside; EPS +10%; Rev +4%
17,CRM,45.731254167233644,50.5469389061153,70.37904234558937,33.164757776142736,Technology,1.178,10.7,49.6,1.28,-17.1% 1mo; +48.4% analyst upside; EPS +52%; Rev +13%
18,AMD,45.1449816711,58.42649770563695,31.51130168385038,49.97024259223236,Technology,2.469,39.3,54.6,0.87,-0.7% 1mo; -1.8% analyst upside; EPS +91%; Rev +38%
19,AVGO,44.614354511116716,25.4382030408148,75.08533779537868,51.408865239359656,Technology,1.462,18.6,41.6,1.11,-25.0% 1mo; +45.3% analyst upside; EPS +85%; Rev +48%
20,LIN,44.423136468525286,82.91522675723326,30.429946629148574,19.15404557426469,Basic Materials,0.723,27.7,68.3,1.23,+10.6% 1mo; -0.1% analyst upside; EPS +13%; Rev +8%
21,COST,44.37963083313264,65.83267785243102,31.81134369518829,32.00540279194081,Consumer Defensive,0.872,42.1,41.8,1.41,-0.3% 1mo; +13.8% analyst upside; EPS +46%; Rev +22%
22,TMO,44.13441815609169,79.21863159369666,40.84015690743505,18.301905002648628,Healthcare,0.868,19.2,72.0,1.08,+8.7% 1mo; +13.9% analyst upside; EPS +11%; Rev +6%
23,MRK,43.95513132280277,85.27629853089151,24.820855442802568,14.991872859986424,Healthcare,0.205,13.5,65.7,1.28,+12.8% 1mo; +1.2% analyst upside; Rev +5%
24,KO,43.940222359661405,80.02024687867318,31.33214245434037,21.710132891596544,Consumer Defensive,0.349,24.2,60.0,1.48,+8.0% 1mo; +2.2% analyst upside; EPS +18%; Rev +12%
25,HD,42.93105067058745,88.81256874688437,22.770877995159548,13.137064287030755,Consumer Cyclical,0.951,22.2,71.4,1.21,+15.8% 1mo; +3.5% analyst upside; EPS -4%; Rev +5%
26,AAPL,42.522386671694846,73.34541361458136,22.316561926695528,23.77252914056145,Technology,1.097,32.1,58.3,1.59,-2.1% 1mo; +2.1% analyst upside; EPS +22%; Rev +17%
27,JPM,42.20791334262495,78.54274120912686,17.89460684057952,22.12256698998879,Financial Services,0.982,14.1,68.2,1.26,+11.1% 1mo; +3.1% analyst upside; EPS +17%; Rev +13%
