rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,NVDA,74.89318346880205,45.47746479066772,78.84991879448745,100.0,Technology,2.202,16.1,43.8,0.95,-7.8% 1mo; +46.1% analyst upside; EPS +214%; Rev +85%
2,LLY,73.61032973253262,71.82754709864791,42.1340594437504,78.43678749233828,Healthcare,0.517,25.0,46.8,1.02,+12.5% 1mo; +9.3% analyst upside; EPS +170%; Rev +56%
3,AMD,58.558127366130684,100.0,33.93721835703772,49.94800641762353,Technology,2.492,39.1,49.1,0.83,+21.7% 1mo; -4.8% analyst upside; EPS +91%; Rev +38%
4,BRK-B,53.307828046788444,57.70548402047039,38.3289459990892,50.04052213162634,Financial Services,0.617,22.9,64.7,1.13,+0.6% 1mo; +5.9% analyst upside; EPS +120%; Rev +4%
5,NEE,51.47464979798084,51.7660800483558,39.7447101915199,63.04663437006063,Utilities,0.671,19.5,46.8,0.97,-3.0% 1mo; +15.4% analyst upside; EPS +160%; Rev +7%
6,AVGO,51.098513858827175,53.636824838416516,67.11206595592645,51.30146946276667,Technology,1.433,20.3,43.2,1.6,-6.6% 1mo; +32.9% analyst upside; EPS +85%; Rev +48%
7,CAT,46.81646755916372,82.37509632382873,22.12282301058335,27.69382893887014,Industrials,1.603,31.8,61.2,1.12,+10.6% 1mo; -1.2% analyst upside; EPS +30%; Rev +22%
8,RTX,46.33781292787837,79.74278308211554,38.01409910129555,24.99132180528705,Industrials,0.306,25.4,66.2,1.05,+9.9% 1mo; +12.0% analyst upside; EPS +32%; Rev +9%
9,META,45.4123841935348,41.928979624806416,76.3310122531497,40.804493341335125,Communication Services,1.229,15.7,32.7,1.07,-7.1% 1mo; +45.8% analyst upside; EPS +62%; Rev +33%
10,GOOGL,45.19448462330084,44.07656295217848,55.207083264586664,43.263899978941595,Communication Services,1.237,25.1,35.2,1.04,-8.3% 1mo; +19.0% analyst upside; EPS +82%; Rev +22%
11,BAC,45.06658515351066,76.50397105968399,51.123992228229255,23.343421565688164,Financial Services,1.196,11.2,88.6,1.01,+12.1% 1mo; +11.7% analyst upside; EPS +24%; Rev +8%
12,BLK,43.80793564490626,57.19612614768723,51.06823331168277,34.14145488111734,Financial Services,1.434,17.4,54.8,0.98,-2.1% 1mo; +17.9% analyst upside; EPS +46%; Rev +27%
13,GS,43.672051002010484,89.33521869525433,0.0,24.40575691582176,Financial Services,1.291,16.8,64.1,1.14,+16.7% 1mo; -13.5% analyst upside; EPS +24%; Rev +14%
14,AMZN,43.640592647164446,38.54574226074563,67.47907267052713,39.77565659393458,Consumer Cyclical,1.444,24.1,22.3,0.95,-10.3% 1mo; +31.8% analyst upside; EPS +75%; Rev +17%
15,V,42.627007248120485,56.43106244984896,58.24605015719098,28.197582013599952,Financial Services,0.765,22.2,54.6,0.88,-0.7% 1mo; +20.7% analyst upside; EPS +36%; Rev +17%
16,JPM,41.776040483517484,79.15922167760809,23.193649532911735,22.040572728702802,Financial Services,1.0,14.2,83.6,1.06,+10.9% 1mo; +2.6% analyst upside; EPS +17%; Rev +13%
17,WFC,41.73234200454829,75.60359351207104,40.75659187508881,20.01968300120285,Financial Services,0.93,10.6,73.7,0.87,+12.7% 1mo; +14.7% analyst upside; EPS +15%; Rev +6%
18,DHR,41.118046282482965,64.34649111196886,66.17409537232597,17.117092604998135,Healthcare,0.834,19.2,46.4,0.86,+8.5% 1mo; +36.3% analyst upside; EPS +10%; Rev +4%
19,NFLX,40.98089209727916,28.438520882726532,69.88415042095208,43.303534090744726,Communication Services,1.491,20.0,19.6,1.06,-14.2% 1mo; +48.3% analyst upside; EPS +86%; Rev +16%
20,SPGI,40.60752109924537,52.66103894861095,65.29141153958827,25.695096261851496,Financial Services,1.076,18.8,50.6,0.98,+0.4% 1mo; +27.7% analyst upside; EPS +32%; Rev +10%
21,CSCO,40.274645867713176,51.79326383081321,35.272645262040086,27.259814869838046,Technology,1.004,24.6,48.3,0.97,-1.3% 1mo; +8.3% analyst upside; EPS +37%; Rev +12%
22,ORCL,39.5325795580279,44.23362863027494,66.72271343936565,25.31149017430014,Technology,1.655,16.8,42.7,1.07,-1.7% 1mo; +37.7% analyst upside; EPS +22%; Rev +21%
23,MA,39.417063905868076,51.90923022529734,67.16833962404523,23.59532066192964,Financial Services,0.738,21.6,49.6,0.99,-2.5% 1mo; +30.8% analyst upside; EPS +21%; Rev +16%
24,TMO,39.3036693063475,57.585678422615125,59.97446156490105,18.35261093423864,Healthcare,0.874,16.9,39.0,0.89,+4.6% 1mo; +29.8% analyst upside; EPS +11%; Rev +6%
25,CRM,39.16074959396867,25.854092281408885,82.84779251710042,33.23917521521296,Technology,1.151,10.0,38.2,1.02,-13.4% 1mo; +63.8% analyst upside; EPS +52%; Rev +13%
26,HD,37.92361113110885,71.29882144103843,36.71592864771529,13.12770861899698,Consumer Cyclical,0.974,20.3,57.6,1.01,+10.0% 1mo; +13.0% analyst upside; EPS -4%; Rev +5%
