rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,69.3032508784533,100.0,31.46581715791681,63.62548464608418,Technology,2.399,35.6,80.3,1.29,+87.2% 1mo; -3.0% analyst upside; EPS +91%; Rev +38%
2,LLY,69.20443149835195,19.495366868514765,61.699173068684644,100.0,Healthcare,0.481,21.8,60.8,1.27,+2.9% 1mo; +25.0% analyst upside; EPS +170%; Rev +56%
3,NVDA,60.19571048398374,34.753806019285925,72.0161514932953,77.68476635186705,Technology,2.244,19.4,64.9,0.91,+16.3% 1mo; +22.7% analyst upside; EPS +96%; Rev +73%
4,GOOGL,52.76991859909306,33.73611224981533,54.80774354769892,54.98666191435972,Communication Services,1.267,26.9,82.2,1.09,+22.5% 1mo; +10.1% analyst upside; EPS +82%; Rev +22%
5,AMZN,48.02648455802056,25.637084479066065,63.681702034016055,50.48901707413941,Consumer Cyclical,1.468,27.3,72.1,1.07,+12.8% 1mo; +15.8% analyst upside; EPS +75%; Rev +17%
6,NEE,47.50205835450151,17.555053122760395,30.880965895427497,80.13381745525659,Utilities,0.721,21.6,58.8,0.91,+0.8% 1mo; +4.3% analyst upside; EPS +160%; Rev +7%
7,META,46.131893595938,11.469984492289672,84.51019637057793,51.832878811413764,Communication Services,1.243,16.5,26.3,1.28,-4.9% 1mo; +38.0% analyst upside; EPS +62%; Rev +33%
8,ORCL,45.564283189144916,50.92768549923497,66.18150816939142,33.10525087048982,Technology,1.544,24.1,59.2,0.91,+40.4% 1mo; +24.9% analyst upside; EPS +24%; Rev +22%
9,BRK-B,44.52474213847748,17.94682158854101,41.649056314931634,63.69632781767244,Financial Services,0.622,22.6,62.3,1.07,-0.1% 1mo; +8.5% analyst upside; EPS +120%; Rev +4%
10,INTU,43.029065531635894,24.18743595564463,96.24304395206555,41.448136098424364,Technology,1.035,14.9,45.8,0.58,+12.1% 1mo; +51.1% analyst upside; EPS +48%; Rev +17%
11,BLK,40.25614456806545,24.18107672024957,55.323474505269196,43.39388177191765,Financial Services,1.456,17.8,62.0,0.61,+8.2% 1mo; +16.0% analyst upside; EPS +46%; Rev +27%
12,V,40.18604109531673,21.68434413271485,70.24837138036484,35.87188465906168,Financial Services,0.784,21.8,62.3,1.16,+6.4% 1mo; +23.0% analyst upside; EPS +36%; Rev +17%
13,AVGO,39.990355823720655,29.68707708021978,57.997875348865804,38.44093893709062,Technology,1.44,23.6,61.0,0.8,+15.3% 1mo; +11.0% analyst upside; EPS +32%; Rev +30%
14,NFLX,38.106957669839936,0.0,69.14470561880401,54.98033841304836,Communication Services,1.548,22.2,24.5,0.8,-17.0% 1mo; +34.1% analyst upside; EPS +86%; Rev +16%
15,MSFT,36.99064273168668,25.07246033652768,86.5085423552291,31.68008936460967,Technology,1.093,21.3,43.5,1.05,+11.3% 1mo; +36.1% analyst upside; EPS +23%; Rev +18%
16,CAT,36.24536181527245,33.87365059505436,13.71789846635447,35.21694519820336,Industrials,1.625,31.5,73.4,1.09,+17.4% 1mo; -2.5% analyst upside; EPS +30%; Rev +22%
17,CRM,35.66499118693843,19.80785356883107,91.74252854434596,28.398674787235734,Technology,1.139,11.9,42.3,0.81,+7.6% 1mo; +51.1% analyst upside; EPS +18%; Rev +12%
18,MA,34.414728639716515,16.059904472286163,78.46525638351895,29.977307588971687,Financial Services,0.759,21.9,43.3,1.25,-0.2% 1mo; +30.3% analyst upside; EPS +21%; Rev +16%
19,SPGI,34.23213312667206,17.37229018690782,77.24829606406296,32.65442294391661,Financial Services,1.105,19.0,23.9,0.86,+1.3% 1mo; +26.8% analyst upside; EPS +32%; Rev +10%
20,TXN,33.820704174654196,51.10632150028906,1.9295048885341712,34.41400543470877,Technology,1.298,32.4,80.2,1.12,+39.4% 1mo; -6.3% analyst upside; EPS +31%; Rev +19%
21,CSCO,32.88548185769674,35.86752255383425,14.905183183666788,31.75640557469446,Technology,0.912,21.9,71.4,0.91,+20.1% 1mo; -9.3% analyst upside; EPS +31%; Rev +10%
22,BAC,32.49701192440708,11.853816426096932,68.98844823875106,29.915683565458558,Financial Services,1.221,10.0,32.9,0.74,-3.8% 1mo; +24.6% analyst upside; EPS +24%; Rev +8%
23,AAPL,31.68344369050888,28.78445259846847,29.33874807035678,30.1618318878417,Technology,1.065,30.6,78.0,1.22,+12.4% 1mo; +4.3% analyst upside; EPS +22%; Rev +17%
24,TSLA,31.64765609865827,45.267328304982705,4.92980721542405,24.096995064374372,Consumer Cyclical,1.793,177.0,78.1,0.91,+27.5% 1mo; -7.4% analyst upside; EPS +8%; Rev +16%
25,KO,30.48759364117618,18.236633518391102,45.34893847072164,27.561525754242634,Consumer Defensive,0.356,22.6,70.9,0.99,+1.5% 1mo; +9.1% analyst upside; EPS +18%; Rev +12%
26,DHR,30.462011991544827,4.466076682258108,100.0,21.796055521661007,Healthcare,0.841,18.3,13.4,1.16,-12.2% 1mo; +50.2% analyst upside; EPS +10%; Rev +4%
27,COST,30.460943118337447,15.97738336016824,30.066257981316035,40.6026704730443,Consumer Defensive,0.908,44.4,47.8,1.0,+0.2% 1mo; +7.3% analyst upside; EPS +46%; Rev +22%
28,RTX,29.74409638133307,9.876280749039756,48.271100480814674,31.836740245617122,Industrials,0.301,23.7,36.9,0.97,-11.4% 1mo; +21.0% analyst upside; EPS +32%; Rev +9%
29,ISRG,28.807436118959586,6.102063904129672,68.1144670982292,31.044619832240944,Healthcare,1.509,35.6,36.4,1.15,-6.8% 1mo; +37.4% analyst upside; EPS +19%; Rev +23%
30,ACN,28.592322460092568,10.227216258562871,73.61355488932107,21.8792425205058,Technology,1.071,11.6,24.5,0.79,-4.0% 1mo; +44.6% analyst upside; EPS +4%; Rev +8%
31,UNH,28.581554455420513,39.03019421457348,35.6973669562785,17.73985717109182,Healthcare,0.646,18.5,84.0,0.81,+26.3% 1mo; +0.7% analyst upside; EPS +1%; Rev +2%
32,PM,27.117799292575366,32.615732875674105,37.06941370664881,16.204507207830304,Consumer Defensive,0.393,19.9,77.7,0.91,+13.5% 1mo; +5.5% analyst upside; EPS -9%; Rev +9%
33,LIN,27.046794469637174,18.5910035415751,42.230157089223034,24.30280334181487,Basic Materials,0.74,25.6,56.3,0.89,+0.2% 1mo; +7.2% analyst upside; EPS +13%; Rev +8%
34,WFC,26.261547310640694,2.5340021286888414,60.791988281830854,25.73219237058234,Financial Services,0.96,9.4,25.9,1.01,-13.3% 1mo; +30.5% analyst upside; EPS +15%; Rev +6%
35,JPM,26.04939187267419,12.863304243034875,30.898371399081437,28.195686621444572,Financial Services,1.023,12.7,34.6,0.83,-3.2% 1mo; +14.1% analyst upside; EPS +17%; Rev +13%
36,GS,25.99783175965452,22.230430965214783,0.0,31.248330167600873,Financial Services,1.274,14.4,55.6,0.77,+4.1% 1mo; +0.3% analyst upside; EPS +24%; Rev +14%
37,TMO,25.68940821322493,8.102996603823112,45.00068103085532,23.34163769445916,Healthcare,0.883,16.6,22.6,1.1,-8.8% 1mo; +0.0% analyst upside; EPS +11%; Rev +6%
38,PEP,24.343908255228357,10.341021036843614,19.40827411700385,30.428687575888404,Consumer Defensive,0.394,16.3,38.3,0.87,-4.9% 1mo; +15.2% analyst upside; EPS +28%; Rev +8%
39,PG,23.666605166657487,15.635197427578662,35.709296121325465,21.382228306820263,Consumer Defensive,0.398,20.2,54.2,0.81,-0.5% 1mo; +14.2% analyst upside; EPS +6%; Rev +7%
40,MRK,23.339417564142092,9.471360477865147,43.59677216099115,19.217333074572736,Healthcare,0.195,11.6,46.0,0.92,-8.4% 1mo; +16.6% analyst upside; Rev +5%
41,MCD,22.14501281447171,7.173283295828297,41.81804556800801,22.52387697156156,Consumer Cyclical,0.436,19.3,20.2,1.34,-10.2% 1mo; +21.6% analyst upside; EPS +7%; Rev +9%
