rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,80.60615235655024,100.0,17.206540445557124,100.0,Technology,1.963,30.5,82.1,1.26,+72.0% 1mo; -10.8% analyst upside; EPS +217%; Rev +34%
2,NVDA,61.14412132962216,42.71929082167983,80.37107469063358,70.32486941873036,Technology,2.335,18.6,74.8,0.83,+26.7% 1mo; +28.6% analyst upside; EPS +96%; Rev +73%
3,NEE,48.85628247289993,16.650663111681695,30.245920982268064,72.49722237142909,Utilities,0.733,21.5,49.1,0.98,+2.3% 1mo; +4.6% analyst upside; EPS +160%; Rev +7%
4,AVGO,44.52508485489033,51.854564841404716,66.99020983797564,34.842666276191274,Technology,1.253,22.4,71.9,0.77,+38.2% 1mo; +17.3% analyst upside; EPS +32%; Rev +30%
5,MSFT,43.647013329701736,30.336314121029545,88.31752709907225,40.71968510051593,Technology,1.107,22.2,73.5,0.96,+18.2% 1mo; +34.5% analyst upside; EPS +60%; Rev +17%
6,META,42.745151781633076,38.52561354613055,77.32060352115965,26.106122484954973,Communication Services,1.309,18.6,65.6,0.84,+24.7% 1mo; +27.8% analyst upside; EPS +11%; Rev +24%
7,UNH,42.305291664314545,61.332137544576625,42.47063546292318,16.115850111729515,Healthcare,0.408,17.9,94.3,1.15,+41.6% 1mo; +4.5% analyst upside; EPS +1%; Rev +2%
8,GOOGL,42.21387211746408,44.789231752689915,52.69968853084321,31.06696649029623,Communication Services,1.128,25.9,77.6,0.76,+27.9% 1mo; +8.2% analyst upside; EPS +31%; Rev +18%
9,NFLX,39.390898960430455,10.293665214941083,59.93554479138508,49.67622778111034,Communication Services,1.669,24.0,29.8,1.1,-0.9% 1mo; +24.5% analyst upside; EPS +86%; Rev +16%
10,TXN,39.09443172803638,70.55708968878206,8.604615012200519,31.215556648716277,Technology,0.994,29.5,78.4,1.4,+44.4% 1mo; +2.1% analyst upside; EPS +31%; Rev +19%
11,AMZN,39.08446001915939,48.47686154253677,54.96700391002677,20.671003579304813,Consumer Cyclical,1.383,27.8,83.3,0.88,+30.9% 1mo; +8.0% analyst upside; EPS +5%; Rev +14%
12,V,37.21142240422305,33.6296790676971,66.85835154665342,29.385994057238808,Financial Services,1.0,22.9,73.8,1.01,+11.8% 1mo; +18.2% analyst upside; EPS +27%; Rev +17%
13,BLK,36.474308349140586,22.624435976151045,62.0496342414423,39.3182956354359,Financial Services,1.493,17.1,59.9,0.72,+11.3% 1mo; +20.7% analyst upside; EPS +46%; Rev +27%
14,ORCL,35.01772317982693,23.479089419543477,93.11618544971265,30.12997627706976,Technology,1.597,20.4,66.3,1.12,+18.4% 1mo; +48.5% analyst upside; EPS +24%; Rev +22%
15,MA,34.690109724340914,22.721275221628442,74.3223105541006,28.662032572246197,Financial Services,0.831,23.2,65.0,0.9,+6.5% 1mo; +24.3% analyst upside; EPS +24%; Rev +18%
16,LLY,33.8175179093699,1.6401165041863435,82.77735660346794,45.73580367952677,Healthcare,0.504,20.2,23.8,0.96,-4.0% 1mo; +41.3% analyst upside; EPS +51%; Rev +43%
17,INTU,33.5237585456412,1.048059120621878,100.0,37.503474694617935,Technology,1.213,14.9,62.0,0.68,-7.6% 1mo; +50.4% analyst upside; EPS +48%; Rev +17%
