rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
39,BRK-B,22.90220461791611,14.783389509606579,46.46817027211255,13.985609557361014,Financial Services,0.699,21.7,40.4,1.03,-1.1% 1mo; +10.8% analyst upside; EPS -2%; Rev -1%
40,MRK,21.414324321629454,8.854348453921022,44.76934414263299,17.422157005135713,Healthcare,0.275,11.5,35.3,0.93,-7.2% 1mo; +15.7% analyst upside; Rev +5%
41,WMT,20.42076616160786,22.61174029471625,50.40535163101261,9.737496576129457,Consumer Defensive,0.661,40.1,70.5,0.79,+5.5% 1mo; +3.8% analyst upside; EPS -19%; Rev +6%
42,ABT,19.970727841681256,0.0,72.46533025132777,11.08509067121779,Healthcare,0.782,14.8,27.2,1.15,-12.1% 1mo; +32.6% analyst upside; EPS -20%; Rev +8%
43,MCD,19.433352998341537,4.016558169026528,40.04774216844642,20.91108894315928,Consumer Cyclical,0.532,20.0,32.3,1.06,-6.7% 1mo; +20.2% analyst upside; EPS +8%; Rev +10%
44,HD,19.229909024062763,10.538373537877705,53.60960635341284,9.102940100924368,Consumer Cyclical,1.085,19.9,35.9,0.89,-1.7% 1mo; +26.0% analyst upside; EPS -14%; Rev -4%
45,CVX,16.506728313324125,13.072935834908195,47.79496646057596,1.1278031361938488,Energy,0.587,16.2,48.3,0.79,-3.4% 1mo; +11.9% analyst upside; EPS -44%; Rev +4%
46,UPS,15.832602595155528,26.63566658840469,15.86251420298391,5.78231990962603,Industrials,1.098,13.6,62.8,0.91,+9.9% 1mo; +5.2% analyst upside; EPS -27%; Rev -2%
47,XOM,15.287238791849923,11.231194350006026,18.969178721817695,11.313460098104386,Energy,0.288,15.0,50.2,0.72,-5.0% 1mo; +8.3% analyst upside; EPS -11%; Rev -1%
48,JNJ,15.082628640911954,7.121025879815937,31.774654025063064,0.0,Healthcare,0.329,17.9,34.2,0.96,-6.9% 1mo; +11.1% analyst upside; EPS -53%; Rev +10%
49,ABBV,14.96673242280427,13.777822867978504,58.834860838340276,3.688943493047265,Healthcare,0.364,12.8,52.4,1.09,-3.1% 1mo; +21.2% analyst upside; EPS -46%; Rev +12%
50,AMGN,14.376823757949438,3.009874368380285,12.113423667130768,18.874810344735504,Healthcare,0.465,14.1,33.4,0.95,-6.6% 1mo; +7.2% analyst upside; EPS +4%; Rev +6%
