rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,82.20195906785733,100.0,13.65425131811662,100.0,Technology,1.963,32.0,83.1,1.2,+74.3% 1mo; -15.2% analyst upside; EPS +217%; Rev +34%
2,NVDA,57.985202016071526,25.61547118863046,85.5852488390711,70.40746169736398,Technology,2.335,17.8,59.7,0.88,+14.4% 1mo; +34.9% analyst upside; EPS +96%; Rev +73%
3,NEE,47.07304384800169,20.96948619879739,26.478317601062116,72.48589190591103,Utilities,0.733,22.3,59.0,0.99,+5.4% 1mo; +0.6% analyst upside; EPS +160%; Rev +7%
4,GOOGL,46.34451596398292,59.42228058656902,41.13743899819619,31.010382137687902,Communication Services,1.128,28.4,87.3,0.9,+33.8% 1mo; -1.6% analyst upside; EPS +31%; Rev +18%
5,AVGO,44.61246155555055,49.050295054622346,61.99120623612334,34.834686149467444,Technology,1.253,23.0,70.7,0.79,+34.9% 1mo; +13.9% analyst upside; EPS +32%; Rev +30%
6,MSFT,41.875391447904036,20.42525327859596,92.27882805246166,40.78675265869506,Technology,1.107,21.2,64.9,1.04,+10.2% 1mo; +40.0% analyst upside; EPS +60%; Rev +17%
7,NFLX,39.24973882057012,11.385659630618369,56.87592016902101,49.68402014855793,Communication Services,1.669,24.4,31.2,1.05,-2.6% 1mo; +22.5% analyst upside; EPS +86%; Rev +16%
8,AMZN,38.29175442372147,43.20524094886966,53.48133479224756,20.712358117960257,Consumer Cyclical,1.383,27.0,82.2,0.97,+27.3% 1mo; +7.1% analyst upside; EPS +5%; Rev +14%
9,UNH,38.0079381783397,52.991848510154874,42.65240232012303,16.132856767021924,Healthcare,0.408,17.9,97.4,1.18,+36.9% 1mo; +4.5% analyst upside; EPS +1%; Rev +2%
10,BLK,37.735842064783355,25.55635757337167,57.75814443656261,39.30784688764079,Financial Services,1.493,17.6,65.5,0.68,+10.8% 1mo; +17.7% analyst upside; EPS +46%; Rev +27%
11,META,37.66089247887925,12.112010463018052,89.17734744392153,26.237038395775908,Communication Services,1.309,16.9,45.2,1.09,+7.0% 1mo; +39.7% analyst upside; EPS +11%; Rev +24%
12,LLY,37.251986164271784,19.61590835794586,65.89614908164417,45.67389769932771,Healthcare,0.504,21.9,49.1,1.11,+1.6% 1mo; +28.6% analyst upside; EPS +51%; Rev +43%
13,V,37.06475364762251,25.658786618877738,67.73153334444379,29.419016852306246,Financial Services,1.0,22.5,72.4,1.08,+9.1% 1mo; +20.0% analyst upside; EPS +27%; Rev +17%
14,ORCL,34.79276875646688,17.373881391893747,93.13070100647809,30.164769366842542,Technology,1.597,20.1,64.2,1.05,+10.1% 1mo; +50.7% analyst upside; EPS +24%; Rev +22%
15,TXN,34.762286746258056,59.798388972608365,5.56994369716167,31.203658577369332,Technology,0.994,30.8,81.0,1.47,+44.8% 1mo; -2.2% analyst upside; EPS +31%; Rev +19%
16,BAC,33.89710038422255,24.269426804707415,62.06936147783201,27.720394719544327,Financial Services,1.237,10.6,57.3,0.75,+9.7% 1mo; +17.7% analyst upside; EPS +23%; Rev +12%
17,INTU,33.761897143833934,3.0382571361762234,100.0,37.54815714516201,Technology,1.213,14.7,63.9,0.69,-9.9% 1mo; +52.9% analyst upside; EPS +48%; Rev +17%
