rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,90.07918176938841,100.0,41.04423926681031,100.0,Technology,1.963,25.0,96.0,0.9,+33.9% 1mo; +6.0% analyst upside; EPS +217%; Rev +34%
2,NVDA,68.24531988933651,56.53228523516118,89.7633321215114,74.21205079874895,Technology,2.335,18.0,98.6,0.82,+13.2% 1mo; +32.9% analyst upside; EPS +96%; Rev +73%
3,AVGO,56.33959746990122,76.16565381332998,72.39703625197129,43.472505675192664,Technology,1.253,22.1,94.2,0.96,+25.2% 1mo; +19.0% analyst upside; EPS +32%; Rev +30%
4,ORCL,55.96946241244589,68.52600603923236,82.52793020336372,39.303435612611395,Technology,1.597,22.3,79.5,1.23,+14.6% 1mo; +37.3% analyst upside; EPS +24%; Rev +22%
5,MSFT,55.055973615621745,47.09479876987197,96.22094414077804,48.54975733807524,Technology,1.107,22.1,87.2,0.92,+7.5% 1mo; +38.6% analyst upside; EPS +60%; Rev +17%
6,BLK,49.032021864248605,41.72608776183188,64.09278446109707,47.325389839906535,Financial Services,1.493,17.3,77.2,1.03,+8.1% 1mo; +19.4% analyst upside; EPS +46%; Rev +27%
7,LLY,47.95980442815772,22.6299152074377,74.43512102765372,52.82234677638611,Healthcare,0.504,21.8,58.1,0.82,+0.3% 1mo; +31.5% analyst upside; EPS +51%; Rev +43%
8,AMGN,46.37825643667324,23.0401959555853,7.516117257823882,62.457597513016985,Healthcare,0.465,15.0,51.1,0.92,+0.1% 1mo; +0.5% analyst upside; EPS +112%; Rev +9%
9,INTU,46.219920682583385,16.57712110800669,100.0,45.73359654549681,Technology,1.213,15.3,42.3,0.96,-10.8% 1mo; +48.1% analyst upside; EPS +48%; Rev +17%
10,CSCO,46.061484636965254,55.831033571874556,29.941328812599476,38.29042291526374,Technology,0.819,19.4,88.1,0.72,+12.3% 1mo; +1.6% analyst upside; EPS +31%; Rev +10%
11,BAC,45.82684185627181,53.113157957833444,63.95743275830248,37.26292087413013,Financial Services,1.237,10.7,88.7,0.91,+14.8% 1mo; +15.5% analyst upside; EPS +23%; Rev +12%
12,META,45.3396979885574,48.44976353299171,80.10102669476012,35.88232282469968,Communication Services,1.309,18.8,86.9,0.96,+10.6% 1mo; +27.6% analyst upside; EPS +11%; Rev +24%
13,GOOGL,45.10511923525338,47.26555756358027,60.550274838440366,40.21603684293809,Communication Services,1.128,25.0,89.8,0.72,+9.9% 1mo; +11.6% analyst upside; EPS +31%; Rev +18%
14,TXN,44.87547146632805,79.61567575798651,4.399342162551813,27.872262674345343,Technology,0.994,29.3,92.4,0.76,+24.1% 1mo; -3.7% analyst upside; EPS -3%; Rev +10%
15,AAPL,44.091239919177845,49.01827641712934,39.018740364153004,35.68501631583293,Technology,1.109,29.1,78.4,0.95,+9.7% 1mo; +8.9% analyst upside; EPS +18%; Rev +16%
16,GS,43.49940662365336,62.52589161965584,0.0,37.81880363808166,Financial Services,1.311,14.4,84.2,0.98,+16.3% 1mo; -0.9% analyst upside; EPS +24%; Rev +14%
17,AMZN,43.12450454195246,62.93281724051572,64.83659011979344,31.230266834702974,Consumer Cyclical,1.383,26.3,93.4,0.95,+18.9% 1mo; +13.3% analyst upside; EPS +5%; Rev +14%
18,COST,43.1005269221689,30.171090252113903,33.48638544072066,45.10811505455353,Consumer Defensive,0.978,44.4,50.5,0.99,+2.4% 1mo; +7.4% analyst upside; EPS +46%; Rev +22%
19,SPGI,43.06733242179988,34.618100622464496,76.05014031472972,38.31611465934928,Financial Services,1.204,20.1,64.6,0.68,+3.9% 1mo; +20.6% analyst upside; EPS +32%; Rev +9%
20,MA,42.958540425752446,35.17181553557562,80.2723841907701,38.122985413735556,Financial Services,0.831,22.8,66.0,0.85,+5.4% 1mo; +26.7% analyst upside; EPS +24%; Rev +18%
