rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,91.02280279191956,100.0,42.042906905589355,100.0,Technology,1.963,23.5,75.3,0.87,+31.9% 1mo; +13.4% analyst upside; EPS +217%; Rev +34%
2,NVDA,69.98298485767378,60.75807193273185,79.3582521791512,74.18889196635779,Technology,2.335,17.6,72.0,0.84,+9.0% 1mo; +36.5% analyst upside; EPS +96%; Rev +73%
3,AVGO,58.87197797335841,76.43969879499222,65.85714831175905,43.464668764036006,Technology,1.253,21.2,77.5,0.89,+18.4% 1mo; +24.2% analyst upside; EPS +32%; Rev +30%
4,ORCL,57.76203360512241,59.46184952214014,83.91909406929229,39.33882956954181,Technology,1.597,20.4,65.3,0.97,+5.5% 1mo; +51.2% analyst upside; EPS +24%; Rev +22%
5,AMZN,53.38311057283603,83.13953216261667,54.34168500351835,31.186087258224887,Consumer Cyclical,1.383,26.5,80.7,0.92,+19.9% 1mo; +12.9% analyst upside; EPS +5%; Rev +14%
6,MSFT,53.085557400061845,40.65907421435897,92.10022328777391,48.56257136607811,Technology,1.107,20.8,66.1,0.8,-0.6% 1mo; +48.9% analyst upside; EPS +60%; Rev +17%
7,META,51.832131457069835,64.10761834095797,69.03910707562616,35.85552516394196,Communication Services,1.309,18.6,65.8,1.1,+8.0% 1mo; +29.2% analyst upside; EPS +11%; Rev +24%
8,TMO,50.02826199421359,64.47848201976292,62.64886137466578,31.054577829968245,Healthcare,0.972,19.4,68.6,0.75,+13.5% 1mo; +24.2% analyst upside; EPS +9%; Rev +7%
9,GOOGL,48.37811197071075,61.10293469354049,51.19998200562477,40.18410275790764,Communication Services,1.128,24.8,75.6,0.79,+10.1% 1mo; +12.9% analyst upside; EPS +31%; Rev +18%
10,NFLX,47.72326242438882,61.53277750381301,34.99106072098381,40.48427741975404,Communication Services,1.669,27.4,93.4,0.71,+11.5% 1mo; +7.3% analyst upside; EPS +33%; Rev +18%
11,BAC,45.88160854477254,62.461863505955826,50.498346808701065,35.393728734071125,Financial Services,1.237,10.7,78.6,0.8,+14.2% 1mo; +13.0% analyst upside; EPS +21%; Rev +7%
12,AMGN,45.52056409405767,31.828922546635287,2.6257325783728533,62.41179395397114,Healthcare,0.465,15.1,52.5,0.91,-4.2% 1mo; +0.2% analyst upside; EPS +112%; Rev +9%
13,BLK,44.35539241848848,67.81135873585468,53.65023350712196,23.143102430599466,Financial Services,1.493,17.6,69.3,0.89,+14.1% 1mo; +16.2% analyst upside; EPS -32%; Rev +23%
14,MA,44.3369308625254,43.472800483583086,68.62340126229523,38.08876336673671,Financial Services,0.831,22.6,58.4,0.89,+3.2% 1mo; +28.1% analyst upside; EPS +24%; Rev +18%
15,DHR,43.88296002671149,49.17969747218633,69.45885009090308,31.2264142449401,Healthcare,0.986,21.8,60.5,0.8,+6.3% 1mo; +31.6% analyst upside; EPS +12%; Rev +5%
