rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,NVDA,83.87870961295089,64.28908395169137,83.12586209955111,100.0,Technology,2.211,15.9,48.0,0.91,-2.8% 1mo; +48.7% analyst upside; EPS +214%; Rev +85%
2,LLY,76.00658524760041,83.81732955329944,32.0748888105353,78.38670321975295,Healthcare,0.506,27.2,69.1,1.01,+5.9% 1mo; +0.9% analyst upside; EPS +170%; Rev +56%
3,AVGO,63.21576223506759,85.00806815607139,65.75255917390463,51.32422796787539,Technology,1.462,20.7,53.0,1.01,+1.3% 1mo; +30.6% analyst upside; EPS +85%; Rev +48%
4,NEE,62.59592411409139,76.68610326905105,35.756931970788294,63.0587868365341,Utilities,0.667,19.8,55.8,1.07,+3.7% 1mo; +13.9% analyst upside; EPS +160%; Rev +7%
5,META,62.10622695113808,93.84395031968255,65.56879396214438,40.75210159311381,Communication Services,1.246,17.1,64.7,1.21,+8.0% 1mo; +31.1% analyst upside; EPS +62%; Rev +33%
6,AMD,57.91956055172395,100.0,29.1534511036595,49.96409922828869,Technology,2.469,41.3,55.4,0.83,+11.5% 1mo; -6.3% analyst upside; EPS +91%; Rev +38%
7,BRK-B,57.40876534631852,70.49798047469241,20.449552207186038,50.076039643401195,Financial Services,0.607,23.0,53.7,0.95,+1.7% 1mo; +5.0% analyst upside; EPS +120%; Rev +4%
8,SPGI,55.99013467745257,95.75747838550788,55.94393365808348,25.64733899938912,Financial Services,1.079,21.3,65.6,1.29,+9.7% 1mo; +16.2% analyst upside; EPS +32%; Rev +10%
9,AMZN,54.85097561411146,73.5421308585131,63.71993844577679,39.8002781744586,Consumer Cyclical,1.461,25.0,58.6,1.42,+0.7% 1mo; +26.7% analyst upside; EPS +75%; Rev +17%
10,BLK,53.826201043063335,81.32134006316257,53.95634092817908,34.25886052886281,Financial Services,1.443,16.5,41.5,1.15,+2.5% 1mo; +22.9% analyst upside; EPS +46%; Rev +27%
