rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,85.93579532275243,100.0,13.459393882755984,100.0,Technology,1.963,31.6,97.4,1.1,+57.9% 1mo; -15.9% analyst upside; EPS +217%; Rev +34%
2,NVDA,60.9881520271323,39.996123499530164,82.8259586087698,70.34713693899877,Technology,2.335,18.5,86.7,0.82,+16.6% 1mo; +29.0% analyst upside; EPS +96%; Rev +73%
3,NEE,52.247590895352076,25.576530766238704,27.445788651657253,72.50114514189175,Utilities,1.0,21.7,58.5,0.97,+4.5% 1mo; +0.5% analyst upside; EPS +160%; Rev +7%
4,MSFT,48.072343925237924,35.152374588349076,90.98705023680672,40.7174316615017,Technology,1.107,22.4,75.0,0.96,+14.4% 1mo; +36.1% analyst upside; EPS +60%; Rev +17%
5,AVGO,46.172460585934886,55.485427530142296,62.47907096150625,34.8119193736804,Technology,1.253,23.3,92.5,0.84,+32.6% 1mo; +12.5% analyst upside; EPS +32%; Rev +30%
6,TXN,46.145493699097706,73.23452357551487,3.822146160620396,31.19411338715973,Technology,0.994,30.7,91.1,1.22,+40.8% 1mo; -4.0% analyst upside; EPS +31%; Rev +19%
7,LLY,42.98560110260387,11.079888936485338,78.50053473031461,45.7103400809919,Healthcare,0.504,20.9,38.2,0.95,-3.5% 1mo; +36.9% analyst upside; EPS +51%; Rev +43%
8,INTU,42.69959909534294,13.724424316765024,100.0,37.50963474165866,Technology,1.213,15.0,44.1,0.73,-7.0% 1mo; +50.0% analyst upside; EPS +48%; Rev +17%
9,ORCL,42.621407795237104,37.46134575260696,84.12161844672247,30.073977908542698,Technology,1.597,21.7,68.0,1.35,+19.1% 1mo; +40.6% analyst upside; EPS +24%; Rev +22%
10,BLK,41.27865262360717,25.04252360691741,62.6152838312269,39.32131096754654,Financial Services,1.493,17.2,70.9,0.93,+6.5% 1mo; +20.1% analyst upside; EPS +46%; Rev +27%
11,AMGN,40.03447907879168,14.023445566304012,6.53623882409346,56.827229624316324,Healthcare,0.465,14.8,51.9,0.84,-2.7% 1mo; +2.4% analyst upside; EPS +112%; Rev +9%
12,NFLX,39.85144616080466,16.023751715055905,60.355465059985924,49.68522266328635,Communication Services,1.669,24.1,37.4,1.11,+0.2% 1mo; +23.7% analyst upside; EPS +86%; Rev +16%
13,GOOGL,38.85877883575007,39.22981378676485,55.75682743909831,31.086413026603747,Communication Services,1.128,25.5,82.3,0.69,+18.4% 1mo; +9.6% analyst upside; EPS +31%; Rev +18%
14,COST,37.932834304958234,23.51569469759323,29.543662423559336,36.748880106746356,Consumer Defensive,0.978,45.0,47.2,0.93,+3.7% 1mo; +6.0% analyst upside; EPS +46%; Rev +22%
15,SPGI,37.661938588436925,25.240136598837847,75.6839169297913,28.923452910510942,Financial Services,1.204,19.8,51.5,0.64,+6.9% 1mo; +22.3% analyst upside; EPS +32%; Rev +9%
16,CRM,37.509014305041326,17.014202375891724,93.8273324489198,25.70997096509319,Technology,1.288,11.9,45.3,1.0,-1.8% 1mo; +50.9% analyst upside; EPS +18%; Rev +12%
17,UNH,36.965984942133026,57.089754651035776,48.42587879272535,16.16912523131351,Healthcare,0.408,17.2,93.4,1.05,+31.2% 1mo; +8.1% analyst upside; EPS +1%; Rev +2%
18,META,36.120033739189005,32.78367338041133,76.78415593999823,26.102683763766528,Communication Services,1.309,18.7,79.6,0.79,+13.5% 1mo; +26.7% analyst upside; EPS +11%; Rev +24%
19,CSCO,35.421495192158176,30.94411014921287,25.918090527256233,28.861681065069046,Technology,0.819,19.7,79.7,0.75,+9.4% 1mo; +0.1% analyst upside; EPS +31%; Rev +10%
20,MA,34.83241394717175,17.69132042516119,81.4928994196132,28.708246778532786,Financial Services,0.831,22.2,52.7,0.8,+0.5% 1mo; +29.6% analyst upside; EPS +24%; Rev +18%
21,BAC,34.57681605412575,23.627114199911574,67.48934696031422,27.76578480656519,Financial Services,1.237,10.3,62.8,0.91,+6.8% 1mo; +20.5% analyst upside; EPS +23%; Rev +12%
22,AMZN,34.28885796440709,49.33765838464901,55.75557159036564,20.675452878018387,Consumer Cyclical,1.383,27.9,94.6,0.89,+24.7% 1mo; +7.4% analyst upside; EPS +5%; Rev +14%
23,V,33.75500473371385,19.224940596833395,78.35328795606583,25.498670494825493,Financial Services,0.799,21.3,58.1,0.82,+1.5% 1mo; +26.9% analyst upside; EPS +17%; Rev +15%
24,AAPL,33.52596510139339,26.47180407888753,37.777473737397465,25.873057905620318,Technology,1.109,28.9,62.0,0.96,+7.3% 1mo; +9.8% analyst upside; EPS +18%; Rev +16%
25,ISRG,31.638894843404657,23.805662241335774,50.77250564491753,28.02996388999387,Healthcare,1.679,41.1,62.5,1.33,+2.6% 1mo; +19.8% analyst upside; EPS +19%; Rev +23%
26,JPM,30.27147294583176,23.299093172671792,27.34444957049775,25.486533672568356,Financial Services,1.043,13.1,63.7,0.83,+4.9% 1mo; +10.2% analyst upside; EPS +17%; Rev +13%
27,GS,29.670766968114922,29.40277258754457,0.0,28.356919386261755,Financial Services,1.311,14.2,68.0,0.95,+10.1% 1mo; +1.0% analyst upside; EPS +24%; Rev +14%
28,PEP,27.599270298315332,20.68853191468225,14.392076604513795,27.50226412420004,Consumer Defensive,0.41,17.0,46.9,0.9,+2.4% 1mo; +10.7% analyst upside; EPS +28%; Rev +8%
29,TMO,27.572817373076006,8.265694704328086,89.28748226277341,21.098164759115043,Healthcare,1.0,17.2,43.7,1.05,-4.3% 1mo; +36.2% analyst upside; EPS +11%; Rev +6%
30,ABBV,27.483095481695663,12.383405668594165,60.69146467551564,18.834021149776902,Healthcare,0.364,12.4,39.7,0.98,-3.3% 1mo; +25.4% analyst upside; Rev +10%
31,KO,27.480060268897642,21.91867591724818,47.339547517667604,17.006816448695027,Consumer Defensive,0.361,22.2,47.1,0.72,+1.8% 1mo; +9.2% analyst upside; EPS +4%; Rev +2%
32,WMT,27.101540202036993,25.375463167290118,51.400371595161296,9.744019862363047,Consumer Defensive,0.661,39.6,56.1,0.8,+5.6% 1mo; +5.1% analyst upside; EPS -19%; Rev +6%
33,ACN,27.038488505308866,6.429515554328967,72.35178551318975,19.75842613879899,Technology,1.236,12.0,33.8,0.71,-6.5% 1mo; +40.5% analyst upside; EPS +4%; Rev +8%
34,DHR,26.928381697649602,7.997535427085492,94.51954451692251,19.674145974511923,Healthcare,0.986,19.5,34.1,1.25,-5.1% 1mo; +41.1% analyst upside; EPS +10%; Rev +4%
35,CAT,26.342203549379217,38.084572016586776,7.749944718191055,16.295098623991507,Industrials,1.519,29.7,83.0,0.76,+15.8% 1mo; -7.5% analyst upside; EPS -11%; Rev +18%
36,MCD,26.176205794471784,12.210373795398784,33.82826028979515,20.86241087243692,Consumer Cyclical,0.532,20.9,37.3,0.9,-4.0% 1mo; +15.2% analyst upside; EPS +8%; Rev +10%
37,WFC,26.02064854165884,15.960148569486895,50.28103786526735,23.143551641981432,Financial Services,1.056,10.1,42.8,1.15,-1.0% 1mo; +21.8% analyst upside; EPS +15%; Rev +6%
38,TSLA,25.846990859139964,13.060194036441262,26.261242950370406,21.85605711042522,Consumer Cyclical,1.915,142.7,61.2,1.11,-2.5% 1mo; +11.3% analyst upside; EPS +8%; Rev +16%
39,UPS,25.64999629883106,28.24912114842053,15.816166176867199,16.283620219389647,Industrials,1.098,13.5,83.1,0.71,+8.8% 1mo; +5.2% analyst upside; EPS +5%; Rev -3%
40,PG,25.288153747905454,24.97490721020725,32.2386574741853,13.704276869871466,Consumer Defensive,0.403,20.6,61.9,0.85,+3.7% 1mo; +10.2% analyst upside; EPS -5%; Rev +2%
41,LIN,25.046849682914434,25.326756813625256,38.6129536141385,13.39883521224961,Basic Materials,0.79,26.1,58.5,0.71,+3.6% 1mo; +2.7% analyst upside; EPS -9%; Rev +6%
42,PM,25.03354745193437,19.59779191251127,48.70593786420827,14.810019000246893,Consumer Defensive,1.0,17.9,54.5,0.98,-0.8% 1mo; +17.3% analyst upside; EPS -9%; Rev +9%
43,RTX,25.017029121773042,0.0,49.72060927953979,28.847448384714287,Industrials,0.428,23.1,19.2,0.96,-10.6% 1mo; +23.4% analyst upside; EPS +32%; Rev +9%
44,BRK-B,24.466533442438138,16.82912674173441,46.973782588828726,13.992066733588917,Financial Services,0.699,21.6,40.6,1.07,-1.4% 1mo; +11.7% analyst upside; EPS -2%; Rev -1%
45,HD,22.204916933993303,17.248573409061958,47.701756290511774,9.063803107272687,Consumer Cyclical,1.085,20.6,56.4,0.82,+1.0% 1mo; +21.5% analyst upside; EPS -14%; Rev -4%
46,ABT,21.898069461921775,1.961494921745393,68.69199264139885,11.057754091314761,Healthcare,0.782,15.0,26.0,1.25,-12.5% 1mo; +30.2% analyst upside; EPS -20%; Rev +8%
