rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,81.5797434968089,100.0,16.349983232372693,100.0,Technology,1.963,31.6,97.4,1.1,+57.9% 1mo; -15.0% analyst upside; EPS +217%; Rev +34%
2,NVDA,58.159227383152604,39.996123499530164,82.86570152479057,70.34717912157748,Technology,2.335,18.5,86.7,0.82,+16.6% 1mo; +29.0% analyst upside; EPS +96%; Rev +73%
3,NEE,54.64726741662615,25.576530766238704,29.368313306030835,72.50208428654844,Utilities,0.733,21.7,58.5,0.97,+4.5% 1mo; +2.1% analyst upside; EPS +160%; Rev +7%
4,MSFT,44.16437675786274,35.152374588349076,90.57807359428969,40.71746894117673,Technology,1.107,22.4,75.0,0.96,+14.4% 1mo; +35.8% analyst upside; EPS +60%; Rev +17%
5,AVGO,43.3775165144588,55.485427530142296,62.55007698271115,34.811912541371804,Technology,1.253,23.3,92.5,0.84,+32.6% 1mo; +12.5% analyst upside; EPS +32%; Rev +30%
6,TXN,42.76452297750502,73.23452357551487,6.826726723539927,31.202447273603163,Technology,0.994,30.3,91.1,1.22,+40.8% 1mo; -1.6% analyst upside; EPS +31%; Rev +19%
7,UNH,41.233825463263635,57.089754651035776,49.28383525992078,16.171823643764576,Healthcare,0.408,17.1,93.4,1.05,+31.2% 1mo; +8.8% analyst upside; EPS +1%; Rev +2%
8,NFLX,40.4755968740935,16.023751715055905,60.56366802197017,49.68603850419257,Communication Services,1.669,24.0,37.4,1.11,+0.2% 1mo; +23.9% analyst upside; EPS +86%; Rev +16%
9,INTU,38.43945003304011,13.724424316765024,100.0,37.50962737988705,Technology,1.213,15.0,44.1,0.73,-7.0% 1mo; +50.0% analyst upside; EPS +48%; Rev +17%
10,LLY,37.13978358902965,11.079888936485338,78.54122112923791,45.70829822938,Healthcare,0.504,21.0,38.2,0.95,-3.5% 1mo; +36.9% analyst upside; EPS +51%; Rev +43%
11,GOOGL,37.0415029733409,39.22981378676485,55.96396647695212,31.086406925476012,Communication Services,1.128,25.5,82.3,0.69,+18.4% 1mo; +9.6% analyst upside; EPS +31%; Rev +18%
12,ORCL,36.46393747001703,37.46134575260696,82.42695810043644,30.079942698637602,Technology,1.597,21.6,68.0,1.35,+19.1% 1mo; +40.4% analyst upside; EPS +24%; Rev +22%
13,BLK,35.93070454278346,25.04252360691741,62.58811191372303,39.32130325020904,Financial Services,1.493,17.2,70.9,0.93,+6.5% 1mo; +20.0% analyst upside; EPS +46%; Rev +27%
14,AMZN,35.751140532374954,49.33765838464901,55.97773148863633,20.674207345827597,Consumer Cyclical,1.383,27.9,94.6,0.89,+24.7% 1mo; +7.5% analyst upside; EPS +5%; Rev +14%
15,META,34.95610525862841,32.78367338041133,76.82370151264611,26.102644468403053,Communication Services,1.309,18.7,79.6,0.79,+13.5% 1mo; +26.7% analyst upside; EPS +11%; Rev +24%
16,SPGI,34.40841087205161,25.240136598837847,75.72993360246834,28.923447233893302,Financial Services,1.204,19.8,51.5,0.64,+6.9% 1mo; +22.3% analyst upside; EPS +32%; Rev +9%
17,CRM,32.89253574835818,17.014202375891724,93.83901383779407,25.709965919164713,Technology,1.288,11.9,45.3,1.0,-1.8% 1mo; +50.9% analyst upside; EPS +18%; Rev +12%
18,AMGN,32.498157523242995,14.023445566304012,6.713113170705104,56.82786474425912,Healthcare,0.465,14.7,51.9,0.84,-2.7% 1mo; +2.4% analyst upside; EPS +112%; Rev +9%
19,MA,32.08758586340856,17.69132042516119,81.39261832397608,28.708264147268615,Financial Services,0.831,22.2,52.7,0.8,+0.5% 1mo; +29.5% analyst upside; EPS +24%; Rev +18%
20,ISRG,31.19492829322654,23.805662241335774,50.7039964888478,28.031779975705945,Healthcare,1.679,40.9,62.5,1.33,+2.6% 1mo; +19.7% analyst upside; EPS +19%; Rev +23%
21,V,30.89024017504832,19.224940596833395,78.27877811012411,25.498703092700044,Financial Services,0.799,21.3,58.1,0.82,+1.5% 1mo; +26.8% analyst upside; EPS +17%; Rev +15%
22,BAC,30.61624196884918,23.627114199911574,67.74624531576373,27.76250861993388,Financial Services,1.237,10.3,62.8,0.91,+6.8% 1mo; +20.7% analyst upside; EPS +23%; Rev +12%
23,COST,30.41207293593152,23.51569469759323,29.676996654032127,36.7488728942831,Consumer Defensive,0.978,45.0,47.2,0.93,+3.7% 1mo; +6.0% analyst upside; EPS +46%; Rev +22%
24,DHR,27.3424956472236,7.997535427085492,94.5299159375727,19.674418377689246,Healthcare,0.986,19.5,34.1,1.25,-5.1% 1mo; +41.1% analyst upside; EPS +10%; Rev +4%
25,CSCO,27.219908861504827,30.94411014921287,26.05828592672313,28.861675400574953,Technology,0.819,19.7,79.7,0.75,+9.4% 1mo; +0.1% analyst upside; EPS +31%; Rev +10%
26,AAPL,26.14821482510377,26.47180407888753,37.895225992803816,25.871403521293928,Technology,1.109,29.0,62.0,0.96,+7.3% 1mo; +9.8% analyst upside; EPS +18%; Rev +16%
27,WFC,26.01751119797997,15.960148569486895,50.247084400033174,23.143547099747348,Financial Services,1.056,10.1,42.8,1.15,-1.0% 1mo; +21.7% analyst upside; EPS +15%; Rev +6%
28,PG,25.44612230315422,24.97490721020725,32.582117875154786,19.37893833411008,Consumer Defensive,0.403,20.7,61.9,0.85,+3.7% 1mo; +10.4% analyst upside; EPS +6%; Rev +7%
29,KO,24.894656491484533,21.91867591724818,47.439204144020955,17.006813110877975,Consumer Defensive,0.361,22.2,47.1,0.72,+1.8% 1mo; +9.2% analyst upside; EPS +4%; Rev +2%
30,JPM,24.295643507675337,23.299093172671792,27.7233466800285,25.486528670492454,Financial Services,1.043,13.1,63.7,0.83,+4.9% 1mo; +10.4% analyst upside; EPS +17%; Rev +13%
31,TMO,24.22675896374255,8.265694704328086,85.0131107686725,21.098160618315713,Healthcare,0.972,17.2,43.7,1.05,-4.3% 1mo; +32.6% analyst upside; EPS +11%; Rev +6%
32,RTX,23.89222974423186,0.0,49.815759894813816,28.848124956310166,Industrials,0.428,23.1,19.2,0.96,-10.6% 1mo; +23.4% analyst upside; EPS +32%; Rev +9%
33,LIN,23.48146072418142,25.326756813625256,39.09578374874079,13.398629586578604,Basic Materials,0.79,26.2,58.5,0.71,+3.6% 1mo; +3.0% analyst upside; EPS -9%; Rev +6%
34,PM,23.464015266824145,19.59779191251127,48.80300868193676,14.804410239365584,Consumer Defensive,0.451,18.0,54.5,0.98,-0.8% 1mo; +17.3% analyst upside; EPS -9%; Rev +9%
35,ACN,23.316031691480863,6.429515554328967,72.40410803703008,19.75850578846602,Technology,1.236,12.0,33.8,0.71,-6.5% 1mo; +40.5% analyst upside; EPS +4%; Rev +8%
36,PEP,23.22703068750154,20.68853191468225,14.554084267428816,27.502258726509854,Consumer Defensive,0.41,17.0,46.9,0.9,+2.4% 1mo; +10.7% analyst upside; EPS +28%; Rev +8%
37,ABBV,23.071844890534507,12.383405668594165,60.76585363027528,18.83293145157195,Healthcare,0.364,12.4,39.7,0.98,-3.3% 1mo; +25.4% analyst upside; Rev +10%
38,CAT,22.629523990146616,38.084572016586776,8.492971000628838,16.295095425858676,Industrials,1.519,29.7,83.0,0.76,+15.8% 1mo; -7.1% analyst upside; EPS -11%; Rev +18%
39,BRK-B,22.432317743112677,16.82912674173441,47.074131402528145,13.992063987457149,Financial Services,0.699,21.6,40.6,1.07,-1.4% 1mo; +11.7% analyst upside; EPS -2%; Rev -1%
40,GS,22.313075499166107,29.40277258754457,0.0,28.357232238733733,Financial Services,1.311,14.2,68.0,0.95,+10.1% 1mo; +0.9% analyst upside; EPS +24%; Rev +14%
41,WMT,21.60221386406863,25.375463167290118,51.12135501302431,9.744017949967757,Consumer Defensive,0.661,39.6,56.1,0.8,+5.6% 1mo; +4.9% analyst upside; EPS -19%; Rev +6%
42,TSLA,21.552972221899964,13.060194036441262,26.206560121631036,21.849052797969104,Consumer Cyclical,1.915,149.7,61.2,1.11,-2.5% 1mo; +11.2% analyst upside; EPS +8%; Rev +16%
43,MCD,20.10053745756776,12.210373795398784,33.95348618567335,20.86262728873306,Consumer Cyclical,0.532,20.8,37.3,0.9,-4.0% 1mo; +15.2% analyst upside; EPS +8%; Rev +10%
44,UPS,19.493933770504135,28.24912114842053,15.97547883896632,16.283546470045554,Industrials,1.098,13.5,83.1,0.71,+8.8% 1mo; +5.2% analyst upside; EPS +5%; Rev -3%
45,ABT,19.27523354127124,1.961494921745393,68.75124109529793,11.057751921081415,Healthcare,0.782,15.0,26.0,1.25,-12.5% 1mo; +30.2% analyst upside; EPS -20%; Rev +8%
46,HD,17.653476802909818,17.248573409061958,47.80072745932278,9.063801328379109,Consumer Cyclical,1.085,20.6,56.4,0.82,+1.0% 1mo; +21.5% analyst upside; EPS -14%; Rev -4%
47,CVX,15.779908156931576,8.970882634063129,47.69633009320293,4.739909474780165,Energy,0.587,15.8,33.2,0.79,-9.7% 1mo; +14.2% analyst upside; EPS -24%; Rev -8%
48,MRK,15.577286335610939,7.951244560618107,44.70107574234853,10.78717731296059,Healthcare,0.275,11.5,34.1,0.86,-6.3% 1mo; +15.9% analyst upside; EPS -19%; Rev +5%
49,XOM,15.145051036399762,10.645158533886907,21.453223000869016,11.333965444530733,Energy,0.288,14.8,25.8,0.74,-8.8% 1mo; +10.4% analyst upside; EPS -11%; Rev -1%
50,JNJ,12.181113289419184,11.438962067350984,31.444712676235664,0.0,Healthcare,0.329,17.9,29.4,1.0,-5.2% 1mo; +11.0% analyst upside; EPS -53%; Rev +10%
