rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,92.32130279344781,100.0,43.12076143294674,100.0,Technology,1.963,23.8,71.9,0.83,+31.3% 1mo; +12.1% analyst upside; EPS +217%; Rev +34%
2,NVDA,68.8485643636058,52.766842409045964,87.36075738795923,74.18889757923867,Technology,2.335,17.7,71.4,0.82,+8.5% 1mo; +35.1% analyst upside; EPS +96%; Rev +73%
3,AVGO,61.072399390720726,86.88218781551947,67.93399787339872,43.43648397389235,Technology,1.253,22.0,80.2,0.89,+22.4% 1mo; +19.5% analyst upside; EPS +32%; Rev +30%
4,ORCL,60.341303677561534,67.58276508705463,85.27147427983589,39.30555527511401,Technology,1.597,21.3,70.4,1.02,+9.3% 1mo; +43.6% analyst upside; EPS +24%; Rev +22%
5,MSFT,54.4056539224594,44.94335018023101,94.48300037107089,48.52713318039141,Technology,1.107,21.8,75.2,0.8,+2.8% 1mo; +41.3% analyst upside; EPS +60%; Rev +17%
6,BLK,50.392736052009205,51.20670914122202,58.77711241394456,47.28812481943507,Financial Services,1.493,17.3,66.5,0.91,+11.2% 1mo; +19.4% analyst upside; EPS +46%; Rev +27%
7,AMZN,49.26609043843343,72.63895573324078,59.48435560536167,31.191093404357957,Consumer Cyclical,1.383,26.4,78.7,0.9,+17.4% 1mo; +13.1% analyst upside; EPS +5%; Rev +14%
8,META,48.10574908968037,50.45457871191211,75.02279603889814,35.84494811230585,Communication Services,1.309,18.9,66.9,0.99,+7.0% 1mo; +27.4% analyst upside; EPS +11%; Rev +24%
9,TMO,47.93650301456794,57.21993175396857,67.5864212260814,31.050060495068205,Healthcare,0.972,19.6,69.8,0.74,+13.1% 1mo; +22.2% analyst upside; EPS +9%; Rev +7%
10,NFLX,47.273235581894305,60.91585434390853,36.77972464835674,40.48018676738178,Communication Services,1.669,27.7,93.4,0.68,+13.1% 1mo; +6.1% analyst upside; EPS +33%; Rev +18%
11,BAC,47.27259062747807,61.45563320271638,56.33950041668536,37.19502075335304,Financial Services,1.0,10.9,79.4,0.83,+15.4% 1mo; +13.3% analyst upside; EPS +23%; Rev +12%
12,GOOGL,46.94877980673848,52.813054271576796,55.178995654616884,40.17812517344176,Communication Services,1.128,25.1,76.6,0.74,+10.3% 1mo; +11.6% analyst upside; EPS +31%; Rev +18%
13,MA,41.6489510502163,33.17389712718155,74.21054381592555,38.081210008278795,Financial Services,0.831,22.9,59.7,0.85,+2.4% 1mo; +25.9% analyst upside; EPS +24%; Rev +18%
14,AMGN,41.097739188773375,13.343761052298703,2.2396449172602844,62.427785398231315,Healthcare,0.465,14.9,44.1,0.87,-4.9% 1mo; +1.1% analyst upside; EPS +112%; Rev +9%
15,INTU,40.969291320673875,2.8352741889127175,100.0,45.74411967000805,Technology,1.213,14.7,38.9,0.93,-13.6% 1mo; +53.8% analyst upside; EPS +48%; Rev +17%
16,DHR,39.52269515849659,32.51530163794609,75.90681460950711,31.23097240038493,Healthcare,0.986,21.8,64.2,0.77,+3.7% 1mo; +30.1% analyst upside; EPS +12%; Rev +5%
17,SPGI,39.45138630158325,25.268678004025713,75.78544502878786,38.30587574516534,Financial Services,1.204,19.5,61.5,0.66,+0.9% 1mo; +24.7% analyst upside; EPS +32%; Rev +9%
18,V,39.12679869636732,31.638900083036592,72.75026019446018,35.31100441367682,Financial Services,0.799,21.7,61.2,0.74,+1.9% 1mo; +24.5% analyst upside; EPS +17%; Rev +15%
19,GS,38.111448312756956,48.36656462321089,0.0,37.84217081736887,Financial Services,1.311,13.8,64.6,0.9,+13.2% 1mo; +3.4% analyst upside; EPS +24%; Rev +14%
20,AAPL,37.79391193304688,40.48117784530057,35.11731134821157,35.66031942775694,Technology,1.109,28.6,67.1,0.85,+5.4% 1mo; +11.3% analyst upside; EPS +18%; Rev +16%
21,LLY,37.39949963419504,0.0,71.82358325800344,52.797027106938884,Healthcare,0.504,21.5,47.4,0.91,-8.5% 1mo; +33.7% analyst upside; EPS +51%; Rev +43%
22,ISRG,35.859124308199846,19.76996914852427,56.075606589556045,35.76585155744637,Healthcare,1.679,41.0,49.0,0.89,-3.1% 1mo; +26.3% analyst upside; EPS +17%; Rev +19%
