rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,NVDA,72.04120622430415,55.77973255807163,82.10327469851435,80.73920913621552,Technology,2.215,15.7,53.5,0.94,+20.0% 1mo; +34.1% analyst upside; EPS +214%; Rev +85%
2,CVX,67.13455742081025,21.213742470494438,46.78664013719433,100.0,Energy,0.488,15.1,76.9,0.91,+5.0% 1mo; +9.3% analyst upside; EPS +322%; Rev +54%
3,AMZN,59.3432331734395,33.58839002988721,76.57157514412157,73.24734297781778,Consumer Cyclical,1.454,24.7,29.8,0.64,+13.1% 1mo; +27.6% analyst upside; EPS +242%; Rev +20%
4,GOOGL,58.92226966507019,17.980606738739212,71.5840929880869,86.73775402494476,Communication Services,1.237,23.0,33.7,0.65,+1.2% 1mo; +25.7% analyst upside; EPS +294%; Rev +24%
5,ABBV,57.080463326160015,11.277633517245702,45.06734488330901,83.20870490884644,Healthcare,0.28,15.9,64.4,0.69,-2.0% 1mo; +7.1% analyst upside; EPS +290%; Rev +10%
6,CRM,53.99562780938585,100.0,28.588405978379438,26.3794035853542,Technology,1.152,16.0,80.6,1.13,+33.8% 1mo; -3.2% analyst upside; EPS +52%; Rev +13%
7,ORCL,47.766191471032336,66.84972080126454,100.0,20.749937409794644,Technology,1.718,13.9,54.5,0.62,+29.0% 1mo; +60.7% analyst upside; EPS +22%; Rev +21%
8,AMD,46.3284916288295,33.552715051699245,66.26769396878016,59.584994892797575,Technology,2.489,30.9,47.9,0.67,+11.0% 1mo; +28.8% analyst upside; EPS +160%; Rev +50%
9,MSFT,44.33989751258803,65.67878209045634,60.1134991528627,22.12175387986007,Technology,1.099,21.4,54.2,0.57,+29.6% 1mo; +12.7% analyst upside; EPS +32%; Rev +18%
10,AVGO,42.63266839769137,21.46139715110055,87.43481696097784,41.54317978025533,Technology,1.473,19.1,22.9,0.87,+0.3% 1mo; +41.6% analyst upside; EPS +85%; Rev +48%
11,GS,36.43349341359995,29.028809496952114,12.136405240027557,42.34912752442116,Financial Services,1.288,14.1,50.4,0.94,+6.1% 1mo; +9.7% analyst upside; EPS +92%; Rev +42%
12,DHR,35.09871550234434,30.93064742967159,46.27828238793178,26.248400255932207,Healthcare,0.796,23.2,63.8,0.69,+9.8% 1mo; +5.7% analyst upside; EPS +60%; Rev +6%
13,XOM,34.97282303054894,11.30935566741135,18.99666923094078,47.58684787670931,Energy,0.173,14.7,57.9,0.9,+0.4% 1mo; +8.5% analyst upside; EPS +113%; Rev +44%
14,BRK-B,34.00430196298287,15.981927278233755,26.00740064329927,38.81917725748292,Financial Services,0.607,22.7,35.2,0.82,-1.1% 1mo; +8.7% analyst upside; EPS +108%; Rev +10%
15,AMGN,33.31288414367419,37.03745850107559,0.0,28.539563912182192,Healthcare,0.413,17.9,70.2,0.87,+13.4% 1mo; -11.1% analyst upside; EPS +65%; Rev +10%
16,BLK,32.7780987538403,30.480935600408042,56.237812245464156,22.052444675057593,Financial Services,1.425,18.2,59.2,0.72,+8.2% 1mo; +13.1% analyst upside; EPS +20%; Rev +31%
17,PEP,32.61499075240848,10.088631970598115,14.19144453948229,45.40958007384529,Consumer Defensive,0.361,15.6,51.8,0.78,-2.6% 1mo; +10.9% analyst upside; EPS +137%; Rev +6%
