rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
20,BAC,31.432324756091095,27.17493706114848,64.91099594337267,27.725426139336673,Financial Services,1.237,10.4,64.5,0.91,+9.1% 1mo; +19.3% analyst upside; EPS +23%; Rev +12%
21,V,30.85263649621142,19.07986091715693,76.41835103966105,25.482545909431064,Financial Services,0.799,21.3,59.6,0.82,+1.3% 1mo; +26.7% analyst upside; EPS +17%; Rev +15%
22,ISRG,30.51824737049801,18.784373397404263,53.236969627767586,28.028496046054265,Healthcare,1.679,40.0,56.9,1.35,+0.5% 1mo; +22.5% analyst upside; EPS +19%; Rev +23%
23,COST,29.39508435900894,19.94780020320884,31.39822592085288,36.73800244832247,Consumer Defensive,0.978,44.4,44.6,0.9,+1.9% 1mo; +7.4% analyst upside; EPS +46%; Rev +22%
24,DHR,28.012864707519054,10.348399565016758,89.17928401704064,19.639202622652608,Healthcare,0.986,19.9,39.4,1.28,-3.7% 1mo; +38.5% analyst upside; EPS +10%; Rev +4%
25,WFC,27.346776673033112,20.083867261400144,47.657703858466206,23.09814004334111,Financial Services,1.056,10.2,46.7,1.18,+1.9% 1mo; +20.0% analyst upside; EPS +15%; Rev +6%
26,PG,26.429851633301244,26.154923522248986,32.884365617234664,19.324056177869757,Consumer Defensive,0.403,20.9,65.7,0.87,+5.0% 1mo; +10.6% analyst upside; EPS +6%; Rev +7%
27,CSCO,26.06972111734539,27.140271711715837,27.30861454814284,28.854992354820048,Technology,0.819,19.6,75.3,0.73,+8.0% 1mo; +0.9% analyst upside; EPS +31%; Rev +10%
28,AAPL,25.127560633386814,22.909987011970504,39.31625157812699,25.865481997615753,Technology,1.109,28.6,64.4,0.98,+5.8% 1mo; +11.2% analyst upside; EPS +18%; Rev +16%
29,JPM,24.936730584602458,25.814151710509424,26.618919064374293,25.45338368231247,Financial Services,1.043,13.3,64.8,0.83,+7.4% 1mo; +9.2% analyst upside; EPS +17%; Rev +13%
30,KO,24.465840519390788,18.85690183514315,48.82991173253292,17.007617947076895,Consumer Defensive,0.361,21.9,47.7,0.75,+1.0% 1mo; +10.9% analyst upside; EPS +4%; Rev +2%
31,RTX,24.391177974888805,0.0,49.97029851881419,28.837014259113342,Industrials,0.428,23.0,19.0,1.02,-10.1% 1mo; +24.1% analyst upside; EPS +32%; Rev +9%
32,TMO,24.056721976896586,6.623671249089427,83.02550915341243,21.08539069856264,Healthcare,0.972,17.1,42.7,1.08,-4.3% 1mo; +32.6% analyst upside; EPS +11%; Rev +6%
33,TSLA,23.6585459422022,18.371964805349805,25.93860237583354,21.834439170292665,Consumer Cyclical,1.915,149.4,65.9,1.14,+1.8% 1mo; +10.0% analyst upside; EPS +8%; Rev +16%
34,GS,23.62425866906344,33.786881373846136,0.0,28.323654261167174,Financial Services,1.311,14.3,70.7,0.83,+14.0% 1mo; -0.3% analyst upside; EPS +24%; Rev +14%
35,CAT,23.55278194150635,40.30335035529091,9.729050312843858,16.28279872004315,Industrials,1.519,29.6,81.7,0.78,+18.1% 1mo; -6.8% analyst upside; EPS -11%; Rev +18%
36,PEP,23.41220669291893,19.252478882423958,16.381361956662317,27.497538301470602,Consumer Defensive,0.41,16.8,52.4,0.88,+2.2% 1mo; +11.6% analyst upside; EPS +28%; Rev +8%
37,PM,23.368940041129495,17.933432887981535,50.908002561841826,14.815186309945732,Consumer Defensive,0.451,17.6,53.9,0.96,-1.0% 1mo; +19.7% analyst upside; EPS -9%; Rev +9%
38,BRK-B,23.240755204432833,18.34173188995779,45.6181864087908,13.970986871657942,Financial Services,0.699,21.7,43.3,1.1,-0.5% 1mo; +10.8% analyst upside; EPS -2%; Rev -1%
39,LIN,23.232740029679093,23.46596770602422,38.776946608395136,13.384296414543215,Basic Materials,0.79,26.2,63.6,0.69,+3.1% 1mo; +2.9% analyst upside; EPS -9%; Rev +6%
40,ABBV,22.69054535593535,10.012443209240153,60.648196427925285,18.83257643979729,Healthcare,0.364,12.3,38.5,0.98,-5.7% 1mo; +26.3% analyst upside; Rev +10%
41,ACN,22.5742302224754,2.3157112445618466,72.11949759613529,19.75809014492336,Technology,1.236,11.9,34.0,0.69,-9.1% 1mo; +41.6% analyst upside; EPS +4%; Rev +8%
42,WMT,20.802625808544825,22.306637777251968,52.7715651875421,9.740924991686574,Consumer Defensive,0.661,38.9,60.8,0.81,+4.4% 1mo; +7.0% analyst upside; EPS -19%; Rev +6%
43,UPS,20.584110591884226,31.50933227207211,15.334068876572008,16.25151774164597,Industrials,1.098,13.7,84.0,0.76,+11.0% 1mo; +4.0% analyst upside; EPS +5%; Rev -3%
44,ABT,20.207992546740797,5.597477252114315,64.73832883566271,11.018667099530116,Healthcare,0.782,15.3,31.9,1.28,-10.7% 1mo; +27.8% analyst upside; EPS -20%; Rev +8%
45,MCD,19.232314362617473,7.118865958133541,38.020783934468724,20.88050311028753,Consumer Cyclical,0.532,20.2,33.8,0.95,-6.1% 1mo; +18.9% analyst upside; EPS +8%; Rev +10%
46,HD,17.526309403978185,15.84768056174605,48.71734746809338,9.062172275453165,Consumer Cyclical,1.085,20.4,60.0,0.82,+1.2% 1mo; +22.8% analyst upside; EPS -14%; Rev -4%
47,CVX,15.85438358642977,6.997208012217064,47.942729014852844,4.730809989467206,Energy,0.587,15.7,28.2,0.78,-11.1% 1mo; +14.9% analyst upside; EPS -24%; Rev -8%
48,MRK,15.526349052469548,6.171890598976701,46.23772795851957,10.802344508844218,Healthcare,0.275,11.3,33.9,0.89,-7.3% 1mo; +17.7% analyst upside; EPS -19%; Rev +5%
49,XOM,15.065310968865846,7.275028503287087,23.84092748881048,11.34358799802083,Energy,0.288,14.6,23.9,0.73,-10.4% 1mo; +12.1% analyst upside; EPS -11%; Rev -1%
50,JNJ,13.179882795682683,10.317453537037338,32.72297552193162,0.0,Healthcare,0.329,17.7,29.7,1.01,-5.8% 1mo; +12.0% analyst upside; EPS -53%; Rev +10%
