rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,81.95716343277022,100.0,19.25734280994181,100.0,Technology,1.963,30.4,88.6,1.17,+64.2% 1mo; -11.6% analyst upside; EPS +217%; Rev +34%
2,NVDA,61.30730993055054,53.37637869470131,75.34492409624308,70.27996735488942,Technology,2.335,19.3,88.8,0.85,+26.5% 1mo; +24.0% analyst upside; EPS +96%; Rev +73%
3,NEE,54.56952284888992,24.58901606645863,31.154385349418074,72.48475725729779,Utilities,0.733,21.6,54.0,1.0,+4.0% 1mo; +3.5% analyst upside; EPS +160%; Rev +7%
4,MSFT,44.424387727163456,36.85288677594098,87.26757431097991,40.6991795204593,Technology,1.107,22.5,75.4,0.99,+16.1% 1mo; +34.8% analyst upside; EPS +60%; Rev +17%
5,AVGO,44.37881363511683,58.861728952746674,62.790608190531714,34.8051070219681,Technology,1.253,23.1,87.4,0.82,+35.2% 1mo; +13.7% analyst upside; EPS +32%; Rev +30%
6,UNH,42.054610377393736,59.478144466450786,48.746360504323334,16.16093801981885,Healthcare,0.408,17.1,90.0,1.05,+32.3% 1mo; +8.8% analyst upside; EPS +1%; Rev +2%
7,TXN,41.28098055462975,69.53765048957938,11.022762001207948,31.20635823617665,Technology,0.994,29.5,84.2,1.3,+39.3% 1mo; +1.2% analyst upside; EPS +31%; Rev +19%
8,NFLX,40.242889766181754,13.374278527653413,61.004370740443846,49.67655009238762,Communication Services,1.669,23.8,36.1,1.13,-2.1% 1mo; +25.2% analyst upside; EPS +86%; Rev +16%
9,GOOGL,39.867327865256975,48.29711732601961,53.26737107852391,31.057565798632957,Communication Services,1.128,25.9,82.4,0.73,+24.7% 1mo; +8.0% analyst upside; EPS +31%; Rev +18%
10,META,39.123770815691,45.2215984561802,74.48551968138023,26.081029289448608,Communication Services,1.309,18.8,79.7,0.86,+23.9% 1mo; +26.0% analyst upside; EPS +11%; Rev +24%
11,ORCL,37.00670096303493,39.90154821451253,80.80132929010854,30.0656307139974,Technology,1.597,21.5,69.8,1.27,+21.5% 1mo; +40.6% analyst upside; EPS +24%; Rev +22%
12,BLK,36.8463960029666,29.31504328673529,59.93228060094814,39.2896367760795,Financial Services,1.493,17.4,72.8,0.89,+9.1% 1mo; +18.7% analyst upside; EPS +46%; Rev +27%
13,LLY,36.692503197573814,10.641381867677765,78.49469526061243,45.707483740745715,Healthcare,0.504,20.6,33.8,0.96,-3.2% 1mo; +38.5% analyst upside; EPS +51%; Rev +43%
14,AMZN,36.348632823766444,49.143055682452335,56.357037955947156,20.667844924969486,Consumer Cyclical,1.383,27.6,90.0,0.89,+25.8% 1mo; +8.7% analyst upside; EPS +5%; Rev +14%
15,INTU,36.084930489310466,5.1344997544173205,100.0,37.51464158384789,Technology,1.213,14.7,44.4,0.71,-9.6% 1mo; +52.4% analyst upside; EPS +48%; Rev +17%
16,SPGI,34.017161441885726,24.18099948022364,74.36853858466492,28.905853534724123,Financial Services,1.204,19.8,54.2,0.65,+6.0% 1mo; +22.5% analyst upside; EPS +32%; Rev +9%
17,MA,32.388081874748366,18.80235596224994,78.86671823174716,28.687982231003623,Financial Services,0.831,22.3,56.9,0.79,+1.3% 1mo; +28.9% analyst upside; EPS +24%; Rev +18%
18,AMGN,32.22918497186711,12.135178925152195,9.2446163510436,56.82639577647753,Healthcare,0.465,14.6,50.2,0.85,-3.7% 1mo; +3.7% analyst upside; EPS +112%; Rev +9%
19,CRM,31.808997091695474,13.950399524155152,89.5728388937196,25.674200861014796,Technology,1.288,12.1,48.3,1.0,-2.7% 1mo; +49.2% analyst upside; EPS +18%; Rev +12%
