rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,82.49835019836124,100.0,41.66116732787081,100.0,Technology,1.963,22.6,73.7,0.91,+19.6% 1mo; +18.1% analyst upside; EPS +217%; Rev +34%
2,NVDA,70.0831898742034,62.579487251000565,75.97548583924907,74.19583074009482,Technology,2.335,17.0,68.2,0.88,+1.4% 1mo; +42.2% analyst upside; EPS +96%; Rev +73%
3,AVGO,66.87960104183564,88.4933937633589,61.494639726559896,43.44617206174704,Technology,1.253,20.8,75.5,0.9,+9.0% 1mo; +27.3% analyst upside; EPS +32%; Rev +30%
4,AMZN,60.226109382075094,87.39079143981851,53.051295013979185,31.181347673179754,Consumer Cyclical,1.383,25.4,75.3,0.91,+12.1% 1mo; +18.0% analyst upside; EPS +5%; Rev +14%
5,MSFT,56.65165913142243,37.08171284163849,90.819260864038,48.57731911851876,Technology,1.107,19.7,39.5,0.84,-8.4% 1mo; +58.4% analyst upside; EPS +60%; Rev +17%
6,BAC,53.45858464727134,72.20887499346712,46.53145269695086,35.38532946933077,Financial Services,1.237,10.5,79.0,0.81,+8.3% 1mo; +14.7% analyst upside; EPS +21%; Rev +7%
7,META,53.37115139938602,55.76795684975436,67.67179578039013,35.87476641789078,Communication Services,1.309,17.6,58.7,1.25,-3.7% 1mo; +35.9% analyst upside; EPS +11%; Rev +24%
8,GOOGL,52.79209643810463,63.812554901953064,50.705769654577914,40.18447860316676,Communication Services,1.128,23.6,60.1,0.86,+2.8% 1mo; +18.5% analyst upside; EPS +31%; Rev +18%
9,MA,51.30434999448162,51.28659367339389,64.5560012002465,38.07637388350038,Financial Services,0.831,22.0,52.0,0.92,-0.9% 1mo; +31.8% analyst upside; EPS +24%; Rev +18%
10,NFLX,51.01092535239263,71.51321134162335,34.21725673631801,40.46821264949297,Communication Services,1.669,26.6,80.3,0.72,+8.6% 1mo; +10.7% analyst upside; EPS +33%; Rev +18%
11,WFC,50.680714819148164,76.16632101939851,35.02826865710896,32.3523527141869,Financial Services,1.056,10.8,74.1,0.7,+11.1% 1mo; +15.1% analyst upside; EPS +13%; Rev +5%
12,ORCL,50.57769865724027,21.843754436421914,100.0,39.46732294223833,Technology,1.597,17.3,36.4,0.75,-15.0% 1mo; +78.5% analyst upside; EPS +24%; Rev +22%
13,TMO,49.570561915602596,52.852385763949684,63.68375010590756,31.08160859416819,Healthcare,0.972,18.2,62.9,0.7,+0.2% 1mo; +32.7% analyst upside; EPS +9%; Rev +7%
14,V,49.48048049311267,50.03809012982193,62.91365295387711,35.303828516735884,Financial Services,0.799,20.9,53.2,0.88,-1.5% 1mo; +29.9% analyst upside; EPS +17%; Rev +15%
15,BLK,48.84705380548348,63.87433121250903,54.491524074281806,23.166213660651113,Financial Services,1.493,16.6,62.5,0.82,+5.1% 1mo; +23.5% analyst upside; EPS -32%; Rev +23%
16,LLY,48.20440548515746,41.429594084015,52.715675276544204,52.726217561960674,Healthcare,0.504,22.3,57.8,0.92,-6.0% 1mo; +28.8% analyst upside; EPS +51%; Rev +43%
17,DHR,48.024231983946756,45.91130973698864,67.63536466925942,31.23032896124493,Healthcare,0.986,20.8,51.0,0.85,-2.6% 1mo; +37.8% analyst upside; EPS +12%; Rev +5%
18,SPGI,47.698526924282916,41.865147109366376,64.87313580324323,38.301757798544664,Financial Services,1.204,18.8,45.3,0.62,-3.2% 1mo; +29.6% analyst upside; EPS +32%; Rev +9%
19,CSCO,45.72771058138419,65.23740968487027,27.16345306808538,38.27903595670155,Technology,0.819,18.2,63.8,0.78,+5.8% 1mo; +8.3% analyst upside; EPS +31%; Rev +10%
