rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,CVX,74.23896409022164,54.842075943120626,39.44433618910012,100.0,Energy,0.488,15.6,66.9,0.91,+7.7% 1mo; +5.4% analyst upside; EPS +322%; Rev +54%
2,NVDA,67.85667559815937,40.272807440725074,78.98107239298264,80.68922827899469,Technology,2.215,16.9,71.9,0.72,+5.0% 1mo; +39.2% analyst upside; EPS +214%; Rev +85%
3,ABBV,67.7905607312945,52.1978617767099,38.52059546875041,83.20347495936086,Healthcare,0.28,16.3,59.3,0.68,+3.9% 1mo; +3.9% analyst upside; EPS +290%; Rev +10%
4,AMZN,62.791539174507484,50.21737528505393,65.34564372427761,73.24214984146226,Consumer Cyclical,1.454,25.6,66.6,0.65,+7.4% 1mo; +23.0% analyst upside; EPS +242%; Rev +20%
5,GOOGL,62.26375491180932,34.120188215762624,62.62718230246175,86.7534341771258,Communication Services,1.237,23.3,56.1,0.65,-0.7% 1mo; +24.0% analyst upside; EPS +294%; Rev +24%
6,CRM,52.255070152708036,86.51267166151953,46.769136198793696,26.556108908526156,Technology,1.152,13.3,68.9,0.84,+21.2% 1mo; +17.8% analyst upside; EPS +52%; Rev +13%
7,DHR,49.264106531602614,77.07206434542628,44.380029231614344,26.246148772975104,Healthcare,0.796,22.7,67.8,0.61,+18.1% 1mo; +7.8% analyst upside; EPS +60%; Rev +6%
8,INTU,48.217057218935366,94.47778137192998,49.29279726570446,15.922468456818114,Technology,0.959,13.3,71.8,0.66,+25.0% 1mo; +23.9% analyst upside; EPS +11%; Rev +10%
9,MRK,48.1614875849738,100.0,20.874844791503694,12.031233739145742,Healthcare,0.211,15.9,87.5,0.98,+20.5% 1mo; -9.5% analyst upside; Rev +5%
10,XOM,47.14694032622842,56.58656649903416,12.623935534505085,47.53714260454546,Energy,0.173,15.4,66.3,0.9,+9.3% 1mo; +2.3% analyst upside; EPS +113%; Rev +44%
11,AMGN,46.74719122558763,84.58833166559498,0.0,28.515750716305426,Healthcare,0.413,18.1,80.6,0.86,+20.8% 1mo; -12.5% analyst upside; EPS +65%; Rev +10%
12,MSFT,46.29610413382007,74.77992005316224,59.25724761829281,22.13408054540951,Technology,1.099,20.5,65.9,0.65,+21.8% 1mo; +17.6% analyst upside; EPS +32%; Rev +18%
13,ACN,45.20341857390979,98.34405027675007,15.681634881005454,14.57072132382588,Technology,1.074,12.5,74.5,0.62,+30.0% 1mo; -2.2% analyst upside; EPS +9%; Rev +6%
