rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,83.58535675321197,100.0,45.28452251070656,100.0,Technology,1.963,22.8,73.8,0.9,+24.8% 1mo; +17.2% analyst upside; EPS +217%; Rev +34%
2,NVDA,68.65915765519492,51.91038010413773,85.44487033900853,74.20514837279086,Technology,2.335,17.0,66.4,0.85,+3.4% 1mo; +41.7% analyst upside; EPS +96%; Rev +73%
3,AVGO,68.46296887942246,88.87780087641417,66.25379581789058,43.45236594496543,Technology,1.253,21.2,74.5,0.91,+13.3% 1mo; +24.5% analyst upside; EPS +32%; Rev +30%
4,ORCL,60.35492079068807,52.14171307248606,92.29180314776588,39.368982057879606,Technology,1.597,19.5,51.7,0.85,-1.9% 1mo; +58.4% analyst upside; EPS +24%; Rev +22%
5,AMZN,59.21793407703547,80.71467114763982,58.57207352385372,31.20147853607811,Consumer Cyclical,1.383,25.6,74.0,0.88,+14.5% 1mo; +17.2% analyst upside; EPS +5%; Rev +14%
6,MSFT,57.78545782125222,35.50641614174008,96.70850952804197,48.56779502047866,Technology,1.107,20.3,51.1,0.83,-4.4% 1mo; +52.3% analyst upside; EPS +60%; Rev +17%
7,BAC,54.32433344829437,71.78784402099502,49.98256374816463,35.38142238482323,Financial Services,1.237,10.7,80.0,0.8,+13.2% 1mo; +13.0% analyst upside; EPS +21%; Rev +7%
8,TMO,54.00822740698196,62.27064488933952,65.93241652235882,31.067481648461676,Healthcare,0.972,19.0,68.4,0.71,+8.2% 1mo; +27.3% analyst upside; EPS +9%; Rev +7%
9,META,53.1894162369005,49.58645644863227,75.29172179409842,35.8910570640602,Communication Services,1.309,17.8,57.5,1.14,-0.5% 1mo; +34.9% analyst upside; EPS +11%; Rev +24%
10,DHR,51.93602290940666,52.72164527831082,71.5975557131306,31.22699361381051,Healthcare,0.986,21.5,57.9,0.82,+5.4% 1mo; +33.4% analyst upside; EPS +12%; Rev +5%
11,GOOGL,51.7965691259315,58.03266181272919,55.08101122363863,40.19733677916078,Communication Services,1.128,23.9,61.6,0.82,+5.9% 1mo; +17.0% analyst upside; EPS +31%; Rev +18%
12,BLK,51.34053510765556,68.22035423887426,57.00906793216205,23.165576774857474,Financial Services,1.493,17.0,64.1,0.83,+10.9% 1mo; +19.7% analyst upside; EPS -32%; Rev +23%
13,WFC,50.73426923183945,74.62563389222737,37.260775448118146,32.35261013504352,Financial Services,1.056,10.9,75.0,0.72,+15.1% 1mo; +13.9% analyst upside; EPS +13%; Rev +5%
14,MA,50.66732915327357,45.60985064542349,69.99467201482962,38.08329096885096,Financial Services,0.831,22.4,55.2,0.91,+2.4% 1mo; +29.2% analyst upside; EPS +24%; Rev +18%
15,SPGI,49.58055594460862,43.94766675193454,68.38027143685382,38.291359375928856,Financial Services,1.204,19.5,50.6,0.62,+2.5% 1mo; +25.2% analyst upside; EPS +32%; Rev +9%
16,V,48.30104684258055,42.93456332433739,68.44382686399729,35.31357817882135,Financial Services,0.799,21.3,55.6,0.84,+0.9% 1mo; +27.6% analyst upside; EPS +17%; Rev +15%
17,NFLX,47.64470583752216,60.69434370881622,37.39845511304017,40.491439400278736,Communication Services,1.669,26.6,78.7,0.69,+9.4% 1mo; +10.5% analyst upside; EPS +33%; Rev +18%
18,LLY,45.017005402789685,27.605887336707934,60.494759862697656,52.75407503099072,Healthcare,0.504,22.1,54.4,0.9,-4.9% 1mo; +30.1% analyst upside; EPS +51%; Rev +43%
