rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,NVDA,68.37328260379229,35.050752741680434,61.41017872478258,100.0,Technology,2.244,17.0,62.5,1.0,+7.9% 1mo; +29.1% analyst upside; EPS +214%; Rev +85%
12,ORCL,37.31311657735667,40.510287832733624,53.889385689662895,26.066284500274673,Technology,1.544,23.9,60.1,0.61,+9.0% 1mo; +27.0% analyst upside; EPS +24%; Rev +22%
13,BLK,36.492134817461974,31.908787812269324,45.0456669493572,34.14748201682834,Financial Services,1.456,17.7,55.5,0.77,+1.9% 1mo; +16.6% analyst upside; EPS +46%; Rev +27%
14,CRM,34.959026337792544,38.03347909189107,64.48274951773287,22.343403333055427,Technology,1.139,12.0,45.1,0.93,+3.9% 1mo; +47.2% analyst upside; EPS +18%; Rev +12%
15,CAT,33.77327702225314,36.18330585612281,20.700680979169046,27.75754311087253,Industrials,1.625,29.5,51.0,0.97,+5.3% 1mo; +4.6% analyst upside; EPS +30%; Rev +22%
16,AAPL,33.50876120038957,47.51772229874972,21.731159955703472,23.718186522562444,Technology,1.065,32.2,91.1,0.98,+13.0% 1mo; -0.1% analyst upside; EPS +22%; Rev +17%
17,AVGO,33.00238459923842,26.50922228441216,50.439578304517006,30.28338603135234,Technology,1.44,22.7,49.0,0.75,-1.4% 1mo; +16.0% analyst upside; EPS +32%; Rev +30%
18,MA,32.66558141899832,29.569345684815108,60.4808656043358,23.60134242429232,Financial Services,0.759,21.9,45.4,0.92,-0.8% 1mo; +29.8% analyst upside; EPS +21%; Rev +16%
19,BAC,32.43182464636512,31.566891183923413,51.853622555225506,23.509079063345016,Financial Services,1.221,10.3,47.5,0.93,-1.3% 1mo; +21.6% analyst upside; EPS +24%; Rev +8%
20,MSFT,32.160398942365795,30.517038196933584,64.89203367790557,24.926729878349374,Technology,1.093,21.6,55.1,0.97,+0.9% 1mo; +33.9% analyst upside; EPS +23%; Rev +18%
21,KO,31.974367573583976,38.53050352223747,34.65376836122457,21.676923152843916,Consumer Defensive,0.356,23.4,75.7,0.93,+6.8% 1mo; +5.4% analyst upside; EPS +18%; Rev +12%
22,SPGI,31.878341162429663,27.00566779052483,60.78773309379494,25.71314905370083,Financial Services,1.105,18.8,45.0,1.03,-4.9% 1mo; +27.8% analyst upside; EPS +32%; Rev +10%
23,RTX,31.644913153212762,31.09398475375028,40.04001534490798,25.071320792553685,Industrials,0.301,23.4,58.6,1.03,-1.3% 1mo; +21.6% analyst upside; EPS +32%; Rev +9%
24,DHR,31.562240609015014,29.657837447452508,71.47896056786325,17.144914150315632,Healthcare,0.841,18.9,46.4,1.1,-3.7% 1mo; +44.1% analyst upside; EPS +10%; Rev +4%
25,ACN,30.994148428673324,35.18049305727572,52.41582043094518,17.180412373970345,Technology,1.071,12.0,49.2,0.95,+0.5% 1mo; +38.1% analyst upside; EPS +4%; Rev +8%
26,MRK,30.87765149254085,47.202517916591106,28.012302963924895,14.988626932817173,Healthcare,0.195,12.9,72.7,0.89,+6.8% 1mo; +6.0% analyst upside; Rev +5%
27,TSLA,30.71570221963139,47.566743148085095,12.14039035759733,18.988880170090525,Consumer Cyclical,1.793,169.7,61.5,0.87,+14.0% 1mo; -3.3% analyst upside; EPS +8%; Rev +16%
28,TMO,30.573499606845306,26.853035344470477,63.88878455843805,18.400632007290476,Healthcare,0.883,16.4,41.3,1.17,-3.9% 1mo; +36.4% analyst upside; EPS +11%; Rev +6%
29,COST,30.406215029528234,29.347160424334646,24.747866993954304,31.936664222206606,Consumer Defensive,0.908,45.6,53.6,1.12,+1.5% 1mo; +4.7% analyst upside; EPS +46%; Rev +22%
30,TXN,29.077411280450704,44.73735135881735,5.748226041399491,27.07858552992365,Technology,1.298,32.8,70.8,0.97,+10.1% 1mo; -7.7% analyst upside; EPS +31%; Rev +19%
31,GS,28.799487865362348,41.94442825314782,0.0,24.53332067873877,Financial Services,1.274,15.2,73.7,0.98,+7.0% 1mo; -4.9% analyst upside; EPS +24%; Rev +14%
32,WFC,28.381782995391927,27.784511604677647,44.657382366224375,20.194732181174196,Financial Services,0.96,9.7,42.0,0.94,-4.6% 1mo; +25.7% analyst upside; EPS +15%; Rev +6%
33,LIN,28.2281802015339,33.939798175849546,33.33546261924702,19.12734349546662,Basic Materials,0.74,26.3,68.1,0.81,+1.9% 1mo; +4.6% analyst upside; EPS +13%; Rev +8%
34,ISRG,28.015778701646042,22.758756599630235,47.890053734699954,24.41915763949002,Healthcare,1.509,37.2,42.8,1.18,-8.5% 1mo; +30.7% analyst upside; EPS +19%; Rev +23%
35,PM,27.683681855995964,43.31910284242228,28.97163510111824,12.750289415602673,Consumer Defensive,0.393,20.7,82.2,1.05,+11.7% 1mo; +2.0% analyst upside; EPS -9%; Rev +9%
36,JPM,27.50509954473976,30.48243583709769,25.462661347103694,22.1727344378529,Financial Services,1.023,13.0,48.8,0.85,-1.7% 1mo; +11.7% analyst upside; EPS +17%; Rev +13%
37,INTU,26.5655589063202,0.0,100.0,19.77353704651686,Technology,1.035,11.8,29.5,1.58,-16.5% 1mo; +85.1% analyst upside; EPS +11%; Rev +10%
38,PEP,26.094691566378184,27.35285969848089,17.971673317911083,23.947782328170558,Consumer Defensive,0.394,16.5,39.6,1.11,-3.3% 1mo; +13.6% analyst upside; EPS +28%; Rev +8%
39,UNH,25.40819270551108,40.73066275449981,30.504905678765326,13.983682006337709,Healthcare,0.646,18.7,62.9,0.86,+9.6% 1mo; +0.5% analyst upside; EPS +1%; Rev +2%
40,PG,25.237288089611003,31.53252459962397,30.044593239104138,16.84532545560107,Consumer Defensive,0.398,20.4,52.7,0.79,-0.1% 1mo; +13.4% analyst upside; EPS +6%; Rev +7%
41,ABT,24.30920823887705,25.845999842208894,56.127558340183256,9.685729023538334,Healthcare,0.647,14.4,49.6,0.94,-5.5% 1mo; +35.7% analyst upside; EPS -20%; Rev +8%
42,WMT,23.62977576825179,13.606738536768296,47.782374186731154,20.488934163662275,Consumer Defensive,0.652,36.6,31.9,1.23,-8.7% 1mo; +14.6% analyst upside; EPS +19%; Rev +7%
43,MCD,23.560170821742275,23.392347495333194,30.688828885740538,17.723848529618262,Consumer Cyclical,0.436,19.9,46.8,1.15,-6.7% 1mo; +16.9% analyst upside; EPS +7%; Rev +9%
44,HD,22.84253218144248,24.28216046015383,35.93993986631755,13.180384608104884,Consumer Cyclical,0.999,19.4,50.6,1.26,-8.0% 1mo; +19.1% analyst upside; EPS -4%; Rev +5%
45,ABBV,21.85901565132804,40.39384178724912,41.71680170816409,3.057934946111445,Healthcare,0.305,13.3,64.3,0.79,+7.3% 1mo; +17.2% analyst upside; EPS -46%; Rev +12%
46,CVX,20.11695878948884,34.22299899666093,36.259155257255976,0.7017404884198193,Energy,0.501,15.7,51.3,0.78,+3.0% 1mo; +12.2% analyst upside; EPS -44%; Rev +2%
47,JNJ,19.079489328139992,34.62758262598491,26.66987583809359,0.0,Healthcare,0.263,18.4,68.0,1.02,+1.6% 1mo; +7.9% analyst upside; EPS -53%; Rev +10%
48,AMGN,18.810063623870803,30.717008184159944,13.05204947306625,16.382620815547728,Healthcare,0.435,14.5,69.8,0.95,-1.9% 1mo; +3.8% analyst upside; EPS +4%; Rev +6%
49,UPS,17.234864309154958,28.54814403758287,22.578421151961898,5.155956172515192,Industrials,1.049,12.6,70.0,0.83,-4.6% 1mo; +11.7% analyst upside; EPS -27%; Rev -2%
50,XOM,17.10311498620499,32.682053111918776,18.902040035053776,1.1773183526092619,Energy,0.183,14.9,53.0,0.82,+3.6% 1mo; +8.6% analyst upside; EPS -43%; Rev +3%
