rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,NVDA,68.37328260379229,35.050752741680434,61.41017872478258,100.0,Technology,2.244,17.0,62.5,1.0,+7.9% 1mo; +29.1% analyst upside; EPS +214%; Rev +85%
2,LLY,67.70709325984421,53.820819816874334,40.14451943467936,78.52005531966017,Healthcare,0.481,24.0,70.9,0.94,+16.3% 1mo; +13.6% analyst upside; EPS +170%; Rev +56%
3,AMD,61.44251102956415,100.0,31.851295098204957,50.021321434481,Technology,2.399,36.1,75.2,0.88,+53.1% 1mo; +1.0% analyst upside; EPS +91%; Rev +38%
4,GOOGL,46.993134520421386,41.95576497923148,45.0323526572415,43.25386130352981,Communication Services,1.267,26.5,49.8,0.94,+13.0% 1mo; +12.0% analyst upside; EPS +82%; Rev +22%
5,BRK-B,44.09661377057424,34.9560008985798,33.71465334894799,50.0754134502698,Financial Services,0.622,22.8,68.9,0.92,+3.4% 1mo; +7.0% analyst upside; EPS +120%; Rev +4%
6,CSCO,43.98728043573774,73.44081637820175,25.892534579010523,27.257601064381472,Technology,0.912,25.3,82.9,1.49,+35.9% 1mo; +3.4% analyst upside; EPS +37%; Rev +12%
7,AMZN,43.23288579374538,35.21833879161076,51.67398123362694,39.71723125788466,Consumer Cyclical,1.468,27.0,43.3,0.79,+4.4% 1mo; +17.4% analyst upside; EPS +75%; Rev +17%
8,META,40.02081651723976,21.174973893797766,63.14165928605876,40.74065135039843,Communication Services,1.243,16.9,49.9,0.82,-7.4% 1mo; +35.5% analyst upside; EPS +62%; Rev +33%
9,NEE,39.65143447214012,16.5878088501957,30.409700069861508,63.05619575363527,Utilities,0.721,20.2,31.7,1.39,-8.0% 1mo; +11.5% analyst upside; EPS +160%; Rev +7%
10,V,38.44739585417041,38.00311837606035,53.72473139544257,28.219847244300283,Financial Services,0.784,22.1,52.9,1.06,+6.7% 1mo; +21.2% analyst upside; EPS +36%; Rev +17%
11,NFLX,37.903597513582234,25.601272236573237,50.59183285842476,43.20961080632105,Communication Services,1.548,23.1,42.2,0.76,-4.5% 1mo; +29.3% analyst upside; EPS +86%; Rev +16%
