rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,90.24162900675462,100.0,39.62149927183724,100.0,Technology,1.963,25.2,96.5,0.89,+34.2% 1mo; +5.9% analyst upside; EPS +217%; Rev +34%
2,NVDA,67.47495067333048,53.6135147774351,88.94188880071002,74.22056239800649,Technology,2.335,17.9,96.5,0.81,+12.5% 1mo; +33.8% analyst upside; EPS +96%; Rev +73%
3,ORCL,55.62826047819233,66.27281821174782,81.32773008878956,39.30586178389931,Technology,1.597,22.2,79.3,1.21,+14.1% 1mo; +37.7% analyst upside; EPS +24%; Rev +22%
4,AVGO,55.297000593750866,73.87420024702449,71.40807546278015,43.47645330478011,Technology,1.253,22.0,92.9,0.94,+24.7% 1mo; +19.5% analyst upside; EPS +32%; Rev +30%
5,MSFT,54.39738488920601,46.097891268565746,94.62577051649333,48.55115943812008,Technology,1.107,22.1,86.5,0.89,+7.3% 1mo; +38.8% analyst upside; EPS +60%; Rev +17%
6,BLK,48.37946918839299,41.97669107690165,62.39442502755682,47.32432467251609,Financial Services,1.493,17.3,77.8,1.0,+8.3% 1mo; +19.2% analyst upside; EPS +46%; Rev +27%
7,LLY,47.49465188130883,25.46680266972961,71.64301846272814,52.815941198248,Healthcare,0.504,22.0,60.3,0.79,+1.1% 1mo; +30.5% analyst upside; EPS +51%; Rev +43%
8,AMGN,46.88053417170209,25.3325527698932,5.9089139297233375,62.45128148594017,Healthcare,0.465,15.1,53.3,0.9,+0.7% 1mo; -0.1% analyst upside; EPS +112%; Rev +9%
9,META,45.71564693234359,48.70280544355081,78.20001303571658,35.8806572791428,Communication Services,1.309,18.9,87.4,0.93,+10.8% 1mo; +27.3% analyst upside; EPS +11%; Rev +24%
10,GOOGL,45.13686885770285,48.23567346239791,58.64686981245835,40.212377783376105,Communication Services,1.128,25.2,91.1,0.7,+10.2% 1mo; +11.2% analyst upside; EPS +31%; Rev +18%
11,CSCO,44.63451479448025,56.57220628148153,28.46425138656387,38.28741908958324,Technology,0.819,19.5,88.3,0.69,+12.7% 1mo; +1.3% analyst upside; EPS +31%; Rev +10%
12,BAC,44.61762403417322,51.65904579451552,62.74891701555496,37.266909379712416,Financial Services,1.237,10.7,87.7,0.87,+14.5% 1mo; +15.8% analyst upside; EPS +23%; Rev +12%
13,INTU,44.412688847444095,12.426754488583773,100.0,45.74691224527666,Technology,1.213,15.1,40.5,0.93,-11.8% 1mo; +49.7% analyst upside; EPS +48%; Rev +17%
14,TXN,43.2329701410672,78.76667338485059,3.651485447865077,27.872196787358376,Technology,0.994,29.3,92.4,0.74,+24.1% 1mo; -3.6% analyst upside; EPS -3%; Rev +10%
15,AMZN,43.10334189360967,62.4641762520309,63.31582285724596,31.229237813012713,Consumer Cyclical,1.383,26.4,93.4,0.93,+18.9% 1mo; +13.2% analyst upside; EPS +5%; Rev +14%
16,AAPL,42.958415860489076,48.694351569382874,37.77772086432164,35.684682744352834,Technology,1.109,29.1,78.4,0.92,+9.7% 1mo; +8.9% analyst upside; EPS +18%; Rev +16%
17,TMO,42.34126236116,48.78559307938936,74.8084101262673,31.09511712997408,Healthcare,0.972,19.4,72.0,0.74,+12.0% 1mo; +23.1% analyst upside; EPS +9%; Rev +7%
18,NFLX,42.29344542789747,18.03839310676494,58.37305591470942,56.28441885257577,Communication Services,1.669,24.5,52.7,0.98,+3.1% 1mo; +21.0% analyst upside; EPS +86%; Rev +16%
19,MA,42.05044109022455,33.72999793543557,78.996192943599,38.125184296831264,Financial Services,0.831,22.7,64.7,0.82,+5.1% 1mo; +27.0% analyst upside; EPS +24%; Rev +18%
20,GS,41.95928580203272,59.10533781717648,0.0,37.828003035574156,Financial Services,1.311,14.3,83.6,0.93,+15.5% 1mo; -0.2% analyst upside; EPS +24%; Rev +14%
