rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,90.97436077779759,100.0,33.143413168870936,100.0,Technology,1.963,25.5,91.4,0.89,+41.7% 1mo; +4.0% analyst upside; EPS +217%; Rev +34%
2,NVDA,65.88223987797541,44.229728223781684,86.72359839064107,74.23142480406922,Technology,2.335,17.7,83.6,0.8,+9.0% 1mo; +35.4% analyst upside; EPS +96%; Rev +73%
3,ORCL,60.099525362098824,73.17328819790791,76.20993398700627,39.289018192054655,Technology,1.597,22.4,77.8,1.09,+15.7% 1mo; +36.7% analyst upside; EPS +24%; Rev +22%
4,AVGO,54.47164063500874,68.49733137763553,66.51745921051761,43.45987695347871,Technology,1.253,22.1,86.7,0.9,+24.3% 1mo; +19.0% analyst upside; EPS +32%; Rev +30%
5,MSFT,53.57501923930154,44.3059734530484,89.42419126984947,48.53786894206548,Technology,1.107,22.2,82.5,0.83,+5.2% 1mo; +37.9% analyst upside; EPS +60%; Rev +17%
6,BLK,45.6429264564399,34.11129827241426,61.31522662037846,47.34174759637313,Financial Services,1.493,16.9,63.2,0.95,+5.6% 1mo; +22.1% analyst upside; EPS +46%; Rev +27%
7,META,45.324850214945286,44.254255938815874,72.92754923770472,35.86119679983181,Communication Services,1.309,19.0,84.9,0.91,+8.7% 1mo; +26.5% analyst upside; EPS +11%; Rev +24%
8,NFLX,43.90274136768598,49.57542562696423,36.59821045831508,40.505585551926956,Communication Services,1.669,27.8,93.0,0.76,+14.2% 1mo; +6.2% analyst upside; EPS +33%; Rev +18%
9,AMGN,43.48844332683458,20.47843848885728,1.883362506899369,62.458524555748475,Healthcare,0.465,15.0,46.1,0.84,-3.3% 1mo; +0.8% analyst upside; EPS +112%; Rev +9%
10,GOOGL,43.27056408238143,41.04380853355804,54.96737051671566,40.20634613977925,Communication Services,1.128,25.0,85.4,0.7,+8.1% 1mo; +11.9% analyst upside; EPS +31%; Rev +18%
11,INTU,43.2269274731909,10.682309637839307,100.0,45.78074151574532,Technology,1.213,14.6,36.1,0.93,-15.5% 1mo; +54.9% analyst upside; EPS +48%; Rev +17%
12,LLY,43.129167638220906,17.901120044343497,71.15124882871261,52.83069614022766,Healthcare,0.504,21.5,51.7,0.8,-2.8% 1mo; +33.8% analyst upside; EPS +51%; Rev +43%
13,BAC,42.628913803793395,44.04171268006223,59.09238952597935,37.263854994595576,Financial Services,1.0,10.6,77.0,0.84,+13.2% 1mo; +16.5% analyst upside; EPS +23%; Rev +12%
14,AMZN,42.34198614775132,53.19100992984782,58.15421012059579,31.2098352628404,Consumer Cyclical,1.383,26.6,84.4,0.89,+16.0% 1mo; +12.6% analyst upside; EPS +5%; Rev +14%
